paxCode,label,Normalized Name
PAX0005145560,Dark Souls (Prepare to Die Edition),dark_souls_prepare_to_die
PAX0005558388,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,naruto_shippuden_ultimate_ninja_storm_3_full_burst
PAX0006085660,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,naruto_shippuden_ultimate_ninja_storm_3_full_burst
PAX0006208060,Dark Souls II,dark_souls_ii
PAX0006208094,Dark Souls II (Black Armour Edition),dark_souls_ii_black_armour
PAX0006212072,Ace Combat Assault Horizon (Enhanced Edition),ace_combat_assault_horizon_enhanced
PAX0006355620,Enslaved: Odyssey to the West (Premium Edition),enslaved_odyssey_to_the_west_premium
PAX0006604772,Pac-Man Championship Edition DX+ All You Can Eat Edition,pac_man_championship_dx_all_you_can_eat
PAX0006851476,Dragon Ball: Xenoverse,dragon_ball_xenoverse
PAX0006960446,Project Cars,project_cars
PAX0006962588,Dark Souls II: Season Pass (DLC),dark_souls_ii_season_pass
PAX0006971122,Dark Souls II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin
PAX0006974080,Dragon Ball: Xenoverse,dragon_ball_xenoverse
PAX0006976630,Naruto Shippuden: Ultimate Ninja Storm Revolution,naruto_shippuden_ultimate_ninja_storm_revolution
PAX0006979894,Dark Souls II,dark_souls_ii
PAX0006986218,Star Trek The Video Game,star_trek_the_video_game
PAX0007029602,Dark Souls II (Black Armour Edition) (DLC),dark_souls_ii_black_armour
PAX0007110284,Saint Seiya: Soldiers' Soul,saint_seiya_soldiers_soul
PAX0007244210,Grid 2 - Limited Edition,grid_2_limited
PAX0007647892,Project Cars,project_cars
PAX0007677030,Grid 2 - Limited Edition,grid_2_limited
PAX0007774372,Naruto Shippuden: Ultimate Ninja Storm 4,naruto_shippuden_ultimate_ninja_storm_4
PAX0007780560,Ridge Racer: Unbounded Limited Edition,ridge_racer_unbounded_limited
PAX0007785082,Dark Souls III,dark_souls_iii
