paxCode,label,steamId
PAX0005145560,Dark Souls (Prepare to Die Edition),211420
PAX0005558388,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,234670
PAX0006085660,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,234670
PAX0006208060,Dark Souls II,236430
PAX0006208094,Dark Souls II (Black Armour Edition),
PAX0006212072,Ace Combat Assault Horizon (Enhanced Edition),228400
PAX0006355620,Enslaved: Odyssey to the West (Premium Edition),245280
PAX0006604772,Pac-Man Championship Edition DX+ All You Can Eat Edition,
PAX0006851476,Dragon Ball: Xenoverse,323470
PAX0006960446,Project Cars,234630
PAX0006962588,Dark Souls II: Season Pass (DLC),284450
PAX0006971122,Dark Souls II: Scholar of the First Sin,335300
PAX0006974080,Dragon Ball: Xenoverse,323470
PAX0006976630,Naruto Shippuden: Ultimate Ninja Storm Revolution,272510
PAX0006979894,Dark Souls II,236430
PAX0006986218,Star Trek The Video Game,
PAX0007029602,Dark Souls II (Black Armour Edition) (DLC),
PAX0007110284,Saint Seiya: Soldiers' Soul,348710
PAX0007244210,Grid 2 - Limited Edition,
PAX0007647892,Project Cars,234630
PAX0007677030,Grid 2 - Limited Edition,
PAX0007774372,Naruto Shippuden: Ultimate Ninja Storm 4,349040
PAX0007780560,Ridge Racer: Unbounded Limited Edition,
PAX0007785082,Dark Souls III,374320
PAX0007947534,Dark Souls III: Season Pass (DLC),442010
PAX0008030460,Naruto Shippuden: Ultimate Ninja Storm 4 (Deluxe Edition),
PAX0008039436,Naruto Shippuden: Ultimate Ninja Storm 4 Season Pass (DLC),416424
PAX0008056402,Project Cars (Game of the Year Edition),
PAX0008452536,Dragon Ball: Xenoverse 2,454650
PAX0008568034,Dragon Ball: Xenoverse Season Pass (DLC),58736
PAX0008665002,Tales of Berseria,429660
PAX0008665036,Tales of Zestiria,351970
PAX0008666974,Tekken 7,389730
PAX0008822048,Little Nightmares,424840
PAX0008834696,Dark Souls III (The Fire Fades Edition),
PAX0008920546,Tekken 7 (Day 1 Edition) (DLC),
PAX0008956994,Get Even,299950
PAX0008968486,Little Witch Academia: Chamber of Time,
PAX0008968554,Little Witch Academia: Chamber of Time,
PAX0009056410,One Piece Burning Blood,425220
PAX0009106118,Project CARS 2,378860
PAX0009162694,Dragon Ball Heroes Ultimate Mission X,
PAX0009230728,Project CARS 2 Japanese Cars Bonus Pack (DLC),648310
PAX0009286284,Project Cars (Digital Edition),
PAX0009309268,God Eater 2: Rage Burst,438490
PAX0009332320,Dragon Ball FighterZ,678950
PAX0009345104,Idolm@ster Cinderella Girls Starlight Stage,
PAX0009345274,Sword Art Online Integral Factor,
PAX0009345376,ONE PIECE Treasure Cruise,
PAX0009345580,Dragon Ball Z Dokkan Battle,
PAX0009348266,Ni no Kuni II: Revenant Kingdom,589360
