Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
SPY×ANYA: Operation Memories,E05697,0,248.0,0.0,248.0,32.736000000000004,0.0,4.255680000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
SPY×ANYA: Operation Memories,E05697,1,248.0,0.3,173.6,22.9152,22.9152,2.978976,19.936224,0.2,3.9872448,0.05,0.9968112,0.05,0.9968112,13.96,13.96,0.6092026253316577
SPY×ANYA: Operation Memories Deluxe Edition ,,1,348.0,0.0,348.0,45.936,45.936,5.97168,39.96432,0.2,7.992864000000001,0.07,2.7975024000000004,0.05,1.9982160000000002,27.18,27.18,0.591692789968652
SPY×ANYA: Operation Memories Deluxe Edition ,,3,348.0,0.3,243.6,32.1552,96.4656,4.180176,83.925072,0.2,16.7850144,0.07,5.87475504,0.05,4.1962536,19.02,57.06,0.5915061949544709
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,E03566,0,248.0,0.0,248.0,32.736000000000004,0.0,4.255680000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,,2,348.0,0.0,348.0,45.936,91.872,5.97168,79.92864,0.2,15.985728000000002,,,0.05,3.9964320000000004,0.0,0.0,0.0
GUNDAM BREAKER 4,E04524,4,298.0,0.0,298.0,39.336,157.344,5.11368,136.88927999999999,0.2,27.377855999999998,0.05,6.844463999999999,0.05,6.844463999999999,23.96,95.84,0.6091112466951394
GUNDAM BREAKER 4 Deluxe Edition,E06529,5,448.0,0.0,448.0,59.136,295.68,7.68768,257.2416,0.2,51.44832,0.05,12.86208,0.05,12.86208,36.01,180.04999999999998,0.6089353354978354
GUNDAM BREAKER 4 Ultimate Edition,E06530,4,498.0,0.0,498.0,65.736,262.944,8.54568,228.76128,0.2,45.752256,0.05,11.438064,0.05,11.438064,40.03,160.12,0.6089509553364975
SWORD ART ONLINE Fractured Daydream,E06120,35,298.0,0.0,298.0,39.336,1376.76,5.11368,1197.7812,0.2,239.55624,0.05,59.88906,0.05,59.88906,23.96,838.6,0.6091112466951394
SWORD ART ONLINE Fractured Daydream Deluxe Edition,E06531,14,428.0,0.0,428.0,56.496,790.9440000000001,7.344480000000001,688.1212800000001,0.2,137.62425600000003,0.05,34.40606400000001,0.05,34.40606400000001,34.41,481.73999999999995,0.6090696686491078
SWORD ART ONLINE Fractured Daydream Premium Edition,E06532,21,498.0,0.0,498.0,65.736,1380.4560000000001,8.54568,1200.99672,0.2,240.19934400000002,0.05,60.049836000000006,0.05,60.049836000000006,40.03,840.63,0.6089509553364975
.hack//G.U. Last Recode,E05367,0,278.0,0.0,278.0,36.696000000000005,0.0,4.770480000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
.hack//G.U. Last Recode,E05367,0,278.0,0.6835,87.987,11.614284,0.0,1.50985692,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Accel World VS. Sword Art Online Deluxe Edition,E02452,0,278.0,0.68,88.95999999999998,11.742719999999998,0.0,1.5265536,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Accel World VS. Sword Art Online Deluxe Edition,E02452,1,278.0,0.6835,87.987,11.614284,11.614284,1.50985692,10.104427079999999,0.2,2.020885416,0.05,0.505221354,0.05,0.505221354,7.07,7.07,0.6087331771807888
Ace Combat 7: Skies Unknown,E03174,0,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Ace Combat 7: Skies Unknown,E03174,22,268.0,0.6716,88.0112,11.617478400000001,255.58452480000003,1.5102721920000002,222.358536576,0.2,44.47170731520001,0.05,11.117926828800002,0.05,11.117926828800002,7.08,155.76,0.6094265688499149
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,,0,368.0,0.0,368.0,48.576,0.0,6.3148800000000005,0.0,0.2,0.0,,,0.05,0.0,0.0,0.0,
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,,11,368.0,0.7609,87.9888,11.6145216,127.7597376,1.509887808,111.150971712,0.2,22.2301943424,,,0.05,5.5575485856,0.0,0.0,0.0
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,,0,498.0,0.0,498.0,65.736,0.0,8.54568,0.0,0.2,0.0,,,0.05,0.0,0.0,0.0,
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,,301,498.0,0.8032,98.00639999999999,12.9368448,3893.9902847999997,1.681789824,3387.7715477760003,0.2,677.5543095552001,,,0.05,169.38857738880003,0.0,0.0,0.0
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,0,348.0,0.4,208.79999999999998,27.5616,0.0,3.583008,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,5,348.0,0.0,348.0,45.936,229.68,5.97168,199.8216,0.2,39.96432,0.05,9.99108,0.05,9.99108,27.98,139.9,0.609108324625566
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,0,298.0,0.4,178.79999999999998,23.601599999999998,0.0,3.068208,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,25,298.0,0.0,298.0,39.336,983.4,5.11368,855.5579999999999,0.2,171.11159999999998,0.05,42.777899999999995,0.05,42.777899999999995,23.96,599.0,0.6091112466951393
BLACK CLOVER: QUARTET KNIGHTS,E02895,0,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
BLACK CLOVER: QUARTET KNIGHTS,E02895,0,268.0,0.6716,88.0112,11.617478400000001,0.0,1.5102721920000002,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,0,288.0,0.0,288.0,38.016000000000005,0.0,4.942080000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,0,288.0,0.6944,88.0128,11.6176896,0.0,1.5102996480000002,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Captain Tsubasa: Rise of New Champions,E03350,0,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Captain Tsubasa: Rise of New Champions,E03350,0,198.0,0.5556,87.9912,11.614838400000002,0.0,1.5099289920000003,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,1,298.0,0.0,298.0,39.336,39.336,5.11368,34.222319999999996,0.2,6.844463999999999,0.05,1.7111159999999999,0.05,1.7111159999999999,23.96,23.96,0.6091112466951394
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,0,298.0,0.7047,87.99940000000001,11.615920800000001,0.0,1.5100697040000002,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,0,398.0,0.0,398.0,52.536,0.0,6.829680000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,7,398.0,0.7538,97.98759999999999,12.934363199999998,90.54054239999999,1.6814672159999997,78.770271888,0.2,15.7540543776,0.05,3.9385135944,0.05,3.9385135944,7.88,55.16,0.6092298382343245
CODE VEIN,E03009,0,268.0,0.0,268.0,35.376000000000005,0.0,4.598880000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
CODE VEIN,E03009,8,268.0,0.6716,88.0112,11.617478400000001,92.93982720000001,1.5102721920000002,80.85764966400001,0.2,16.171529932800002,0.05,4.0428824832000005,0.05,4.0428824832000005,7.08,56.64,0.6094265688499149
CODE VEIN Deluxe Edition,E03483 ,0,368.0,0.0,368.0,48.576,0.0,6.3148800000000005,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
CODE VEIN Deluxe Edition,E03483 ,52,368.0,0.7609,87.9888,11.6145216,603.9551232,1.509887808,525.440957184,0.2,105.0881914368,0.05,26.2720478592,0.05,26.2720478592,7.07,367.64,0.6087207242354261
DARK SOULS: REMASTERED,E02716,30,198.0,0.0,198.0,26.136000000000003,784.08,3.3976800000000007,682.1496000000001,0.2,136.42992,0.05,34.10748,0.05,34.10748,15.92,477.6,0.6091215182124273
DARK SOULS: REMASTERED,E02716,2460,198.0,0.5,99.0,13.068000000000001,32147.280000000002,1.6988400000000003,27968.1336,0.2,5593.62672,0.05,1398.40668,0.05,1398.40668,7.96,19581.6,0.6091215182124272
DARK SOULS™ II: Scholar of the First Sin,E01927,15,198.0,0.0,198.0,26.136000000000003,392.04,3.3976800000000007,341.07480000000004,0.2,68.21496,0.05,17.05374,0.05,17.05374,15.92,238.8,0.6091215182124273
DARK SOULS™ II: Scholar of the First Sin,E01927,1046,198.0,0.5,99.0,13.068000000000001,13669.128,1.6988400000000003,11892.141360000001,0.2,2378.4282720000006,0.05,594.6070680000001,0.05,594.6070680000001,7.96,8326.16,0.6091215182124272
DARK SOULS™ III,,19,268.0,0.0,268.0,35.376000000000005,672.1440000000001,4.598880000000001,584.7652800000001,0.2,116.95305600000002,,,0.05,29.238264000000004,0.0,0.0,0.0
DARK SOULS™ III,,989,268.0,0.5,134.0,17.688000000000002,17493.432,2.2994400000000006,15219.285840000002,0.2,3043.8571680000005,,,0.05,760.9642920000001,0.0,0.0,0.0
DARK SOULS™ III - Season Pass,,26,138.0,0.0,138.0,18.216,473.61600000000004,2.3680800000000004,412.04592,0.2,82.40918400000001,,,0.05,20.602296000000003,0.0,0.0,0.0
DARK SOULS™ III - Season Pass,,400,138.0,0.5,69.0,9.108,3643.2000000000003,1.1840400000000002,3169.584,0.2,633.9168,,,0.05,158.4792,0.0,0.0,0.0
DARK SOULS™ III Deluxe Edition,,20,398.0,0.0,398.0,52.536,1050.72,6.829680000000001,914.1264,0.2,182.82528000000002,,,0.05,45.706320000000005,0.0,0.0,0.0
DARK SOULS™ III Deluxe Edition,,1612,398.0,0.5,199.0,26.268,42344.016,3.4148400000000003,36839.29392,0.2,7367.858784,,,0.05,1841.964696,0.0,0.0,0.0
Digimon World: Next Order,E04521,0,248.0,0.0,248.0,32.736000000000004,0.0,4.255680000000001,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Digimon World: Next Order,E04521,12,248.0,0.6452,87.9904,11.6147328,139.3767936,1.5099152640000002,121.25781043200001,0.2,24.251562086400003,0.05,6.062890521600001,0.05,6.062890521600001,7.07,84.84,0.6087096553783828
Digimon Story Cyber Sleuth: Complete Edition,E05368,4,228.0,0.0,228.0,30.096,120.384,3.91248,104.73408,0.2,20.946816000000002,0.05,5.2367040000000005,0.05,5.2367040000000005,18.33,73.32,0.6090510366826156
Digimon Story Cyber Sleuth: Complete Edition,E05368,52,228.0,0.614,88.008,11.617056,604.086912,1.51021728,525.5556134399999,0.2,105.11112268799998,0.05,26.277780671999995,0.05,26.277780671999995,7.07,367.64,0.6085879245137494
Digimon Survive,E05471,0,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
Digimon Survive,E05471,9,298.0,0.7047,87.99940000000001,11.615920800000001,104.54328720000001,1.5100697040000002,90.95265986400003,0.2,18.190531972800006,0.05,4.5476329932000015,0.05,4.5476329932000015,7.07,63.63,0.6086474005573453
Doraemon Story of Seasons,E03496,1,228.0,0.0,228.0,30.096,30.096,3.91248,26.18352,0.2,5.2367040000000005,0.05,1.3091760000000001,0.05,1.3091760000000001,18.33,18.33,0.6090510366826156
Doraemon Story of Seasons,E03496,7,228.0,0.5,114.0,15.048,105.336,1.95624,91.64232000000001,0.2,18.328464000000004,0.05,4.582116000000001,0.05,4.582116000000001,9.16,64.12,0.6087187666135035
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,2,248.0,0.0,248.0,32.736000000000004,65.47200000000001,4.255680000000001,56.960640000000005,0.2,11.392128000000001,0.05,2.8480320000000003,0.05,2.8480320000000003,19.94,39.88,0.6091153470185728
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,13,248.0,0.2984,173.9968,22.967577600000002,298.5785088,2.9857850880000005,259.763302656,0.2,51.9526605312,0.05,12.9881651328,0.05,12.9881651328,13.99,181.87,0.6091195268237605
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,1,348.0,0.0,348.0,45.936,45.936,5.97168,39.96432,0.2,7.992864000000001,0.05,1.9982160000000002,0.05,1.9982160000000002,27.98,27.98,0.609108324625566
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,3,348.0,0.2989,243.98280000000003,32.205729600000005,96.61718880000001,4.186744848000001,84.05695425600001,0.2,16.811390851200002,0.05,4.202847712800001,0.05,4.202847712800001,19.61,58.83,0.6088978651798653
DRAGON BALL FighterZ,E02533,0,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
DRAGON BALL FighterZ,E02533,6,198.0,0.5556,87.9912,11.614838400000002,69.68903040000001,1.5099289920000003,60.629456448000006,0.2,12.125891289600002,0.05,3.0314728224000005,0.05,3.0314728224000005,7.07,42.42,0.6087041211008153
DRAGON BALL FighterZ - FighterZ Edition,E02595,0,298.0,0.0,298.0,39.336,0.0,5.11368,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
DRAGON BALL FighterZ - FighterZ Edition,E02595,11,298.0,0.7047,87.99940000000001,11.615920800000001,127.77512880000002,1.5100697040000002,111.16436205600002,0.2,22.232872411200006,0.05,5.5582181028000015,0.05,5.5582181028000015,7.07,77.77000000000001,0.6086474005573453
DRAGON BALL FighterZ - Legendary Edition,E02596,2,398.0,0.0,398.0,52.536,105.072,6.829680000000001,91.41264,0.2,18.282528,0.05,4.570632,0.05,4.570632,31.99,63.98,0.6089157910765951
DRAGON BALL FighterZ - Legendary Edition,E02596,92,398.0,0.603,158.006,20.856792000000002,1918.8248640000002,2.7113829600000003,1669.3776316800001,0.2,333.87552633600006,0.05,83.46888158400002,0.05,83.46888158400002,12.7,1168.3999999999999,0.6089143526962343
DRAGON BALL XENOVERSE 2,E02035,16,98.0,0.0,98.0,12.936,206.976,1.68168,180.06912,0.2,36.013824,0.05,9.003456,0.05,9.003456,7.88,126.08,0.6091527520098948
DRAGON BALL XENOVERSE 2,E02035,12,98.0,0.102,88.004,11.616528,139.398336,1.5101486400000002,121.27655232000001,0.2,24.255310464000004,0.05,6.063827616000001,0.05,6.063827616000001,7.07,84.84,0.6086155863438715
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,0,198.0,0.0,198.0,26.136000000000003,0.0,3.3976800000000007,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,8,198.0,0.5556,87.9912,11.614838400000002,92.91870720000001,1.5099289920000003,80.83927526400001,0.2,16.167855052800004,0.05,4.041963763200001,0.05,4.041963763200001,7.07,56.56,0.6087041211008153
DRAGON BALL XENOVERSE 2 Special Edition,E06308,4,248.0,0.0,248.0,32.736000000000004,130.94400000000002,4.255680000000001,113.92128000000001,0.2,22.784256000000003,0.05,5.696064000000001,0.05,5.696064000000001,19.94,79.76,0.6091153470185728
DRAGON BALL XENOVERSE 2 Special Edition,E06308,135,248.0,0.6452,87.9904,11.6147328,1567.988928,1.5099152640000002,1364.15036736,0.2,272.83007347200004,0.05,68.20751836800001,0.05,68.20751836800001,7.07,954.45,0.608709655378383
