Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
.hack//G.U. Last Recode,E05367,61,278.0,0.9,27.0,3.70683,226.11663000000001,0.48188790000000004,196.72146809999998,0.2,39.34429362,0.05,9.836073405,0.05,9.836073405,2.26,137.85999999999999,0.6096853645837548,,,,
Accel World VS. Sword Art Online Deluxe Edition,E02452,46,278.0,0.9,27.0,3.70683,170.51418,0.48188790000000004,148.3473366,0.2,29.669467320000003,0.05,7.417366830000001,0.05,7.417366830000001,2.26,103.96,0.6096853645837548,,,,
ACE COMBAT 7: SKIES UNKNOWN,E03174,1,268.0,0.0,268.0,36.79372,36.79372,4.7831836,32.0105364,0.2,6.40210728,0.05,1.60052682,0.05,1.60052682,22.41,22.41,0.6090713306509915,,,,
ACE COMBAT 7: SKIES UNKNOWN,E03174,45,268.0,0.8,53.0,7.27637,327.43665,0.9459281,284.8698855,0.2,56.973977100000006,0.05,14.243494275000002,0.05,14.243494275000002,4.43,199.35,0.608820057253823,,,,
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,11,368.0,0.8,73.0,10.02217,110.24386999999999,1.3028821,95.91216689999999,0.2,19.18243338,0.05,4.795608345,0.05,4.795608345,6.1,67.1,0.6086506215719749,,,,
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,114,498.0,0.8,99.0,13.591709999999999,1549.4549399999999,1.7669222999999998,1348.0257978,0.2,269.60515956,0.05,67.40128989,0.05,67.40128989,8.28,943.92,0.6091948695197293,,,,
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,0,498.0,0.0,498.0,68.37042,0.0,8.8881546,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,29.1
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,2,348.0,0.0,348.0,47.77692,95.55384,6.2109996,83.13184079999999,0.2,16.62636816,0.05,4.15659204,0.05,4.15659204,29.1,58.2,0.6090807025651717,,,,
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,162,348.0,0.4,208.0,28.55632,4626.12384,3.7123216,4024.7277408,0.2,804.94554816,0.05,201.23638704,0.05,201.23638704,17.39,2817.1800000000003,0.6089720244065062,,,,
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,22,298.0,0.0,298.0,40.91242,900.0732399999999,5.3186146,783.0637187999998,0.2,156.61274375999997,0.05,39.15318593999999,0.05,39.15318593999999,24.92,548.24,0.6091059878638321,,,,
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,1481,298.0,0.4,178.0,24.43762,36192.11522,3.1768906,31487.140241399997,0.2,6297.4280482799995,0.05,1574.3570120699999,0.05,1574.3570120699999,14.88,22037.280000000002,0.6088972657730173,,,,
Baten Kaitos I & II HD Remaster,E06117,0,248.0,0.0,248.0,34.04792,0.0,4.4262296,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,3.6
Baten Kaitos I & II HD Remaster,E06117,0,248.0,0.3,173.0,23.75117,0.0,3.0876520999999997,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,24.92
BLACK CLOVER: QUARTET KNIGHTS,E02895,22,268.0,0.9,26.0,3.56954,78.52987999999999,0.4640402,68.3209956,0.2,13.664199120000001,0.05,3.4160497800000003,0.05,3.4160497800000003,2.17,47.739999999999995,0.6079214688727399,,,,
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,10,288.0,0.85,43.0,5.9034699999999996,59.034699999999994,0.7674510999999999,51.360189,0.2,10.2720378,0.05,2.56800945,0.05,2.56800945,3.6,36.0,0.6098108400652498,,,,
BLEACH Rebirth of Souls,E06132,583,298.0,0.0,298.0,40.91242,23851.94086,5.3186146,20751.188548199996,0.2,4150.23770964,0.05,1037.55942741,0.05,1037.55942741,24.92,14528.36,0.6091059878638321,,,,
BLEACH Rebirth of Souls Deluxe Edition,E06690,607,398.0,0.0,398.0,54.64142,33167.34194,7.1033846,28855.5874878,0.2,5771.117497560001,0.05,1442.7793743900002,0.05,1442.7793743900002,33.28,20200.96,0.6090617703566269,,,,
BLEACH Rebirth of Souls Ultimate Edition,E06691,967,498.0,0.0,498.0,68.37042,66114.19614,8.8881546,57519.350641799996,0.2,11503.87012836,0.05,2875.96753209,0.05,2875.96753209,41.64,40265.88,0.6090353108844438,,,,
Captain Tsubasa: Rise of New Champions,E03350,2,198.0,0.75,49.0,6.7272099999999995,13.454419999999999,0.8745373,11.705345399999999,0.2,2.34106908,0.05,0.58526727,0.05,0.58526727,4.1,8.2,0.6094651423101107,,,,
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,23,298.0,0.84,47.0,6.45263,148.41049,0.8388419,129.1171263,0.2,25.82342526,0.05,6.455856315,0.05,6.455856315,3.93,90.39,0.6090539826396368,,,,
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,6,398.0,0.75,99.0,13.591709999999999,81.55026,1.7669222999999998,70.9487262,0.2,14.18974524,0.05,3.54743631,0.05,3.54743631,8.28,49.67999999999999,0.6091948695197292,,,,
CODE VEIN,E03009,1,268.0,0.0,268.0,36.79372,36.79372,4.7831836,32.0105364,0.2,6.40210728,0.05,1.60052682,0.05,1.60052682,22.41,22.41,0.6090713306509915,,,,
CODE VEIN,E03009,454,268.0,0.85,40.0,5.4916,2493.1864,0.713908,2169.072168,0.2,433.81443360000003,0.05,108.45360840000001,0.05,108.45360840000001,3.34,1516.36,0.6082016170150775,,,,
CODE VEIN Deluxe Edition,E03483 ,1,368.0,0.0,368.0,50.52272,50.52272,6.5679536,43.9547664,0.2,8.79095328,0.05,2.19773832,0.05,2.19773832,30.77,30.77,0.6090329261765796,,,,
CODE VEIN Deluxe Edition,E03483 ,935,368.0,0.85,55.0,7.550949999999999,7060.138249999999,0.9816235,6142.320277499999,0.2,1228.4640554999999,0.05,307.11601387499996,0.05,307.11601387499996,4.6,4301.0,0.6091948695197293,,,,
DARK SOULS II: Scholar of the First Sin,,24,158.0,0.0,158.0,21.69182,520.6036799999999,2.8199366,452.92520160000004,0.2,90.58504032000002,0.05,22.646260080000005,0.05,22.646260080000005,13.21,317.04,0.6089853225778198,,,,
DARK SOULS II: Scholar of the First Sin,,0,158.0,0.5,79.0,10.84591,0.0,1.4099683,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,16.55
DARK SOULS III,E01572,43,268.0,0.0,268.0,36.79372,1582.12996,4.7831836,1376.4530652,0.2,275.29061304000004,0.05,68.82265326000001,0.05,68.82265326000001,22.41,963.63,0.6090713306509915,,,,
DARK SOULS III,E01572,0,268.0,0.5,134.0,18.39686,0.0,2.3915918,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,19.06
DARK SOULS III - Season Pass,E01893,52,138.0,0.0,138.0,18.94602,985.19304,2.4629826,857.1179448,0.2,171.42358896000002,0.05,42.855897240000004,0.05,42.855897240000004,11.54,600.0799999999999,0.609098903094159,,,,
DARK SOULS III - Season Pass,E01893,0,138.0,0.5,69.0,9.47301,0.0,1.2314913,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,7.44
DARK SOULS III Deluxe Edition,E02323,42,398.0,0.0,398.0,54.64142,2294.93964,7.1033846,1996.5974867999998,0.2,399.31949736,0.05,99.82987434,0.05,99.82987434,33.28,1397.76,0.6090617703566269,,,,
DARK SOULS III Deluxe Edition,E02323,0,398.0,0.5,199.0,27.32071,0.0,3.5516923,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,20.74
DARK SOULS: REMASTERED,E02716,57,198.0,0.0,198.0,27.183419999999998,1549.4549399999999,3.5338445999999997,1348.0257978,0.2,269.60515956,0.05,67.40128989,0.05,67.40128989,16.55,943.35,0.6088269982217103,,,,
DARK SOULS: REMASTERED,E02716,0,198.0,0.5,99.0,13.591709999999999,0.0,1.7669222999999998,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,20.74
DEATH NOTE Killer Within,E06643,6,48.0,0.0,48.0,6.589919999999999,39.539519999999996,0.8566895999999999,34.39938239999999,0.2,6.879876479999999,0.05,1.7199691199999998,0.05,1.7199691199999998,4.01,24.06,0.6085051108359434,,,,
DEATH NOTE Killer Within,E06643,0,48.0,0.2,38.0,5.21702,0.0,0.6782125999999999,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,20.32
DEATH NOTE Killer Within Special Edition,E06646,0,98.0,0.0,98.0,13.454419999999999,0.0,1.7490746,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,16.55
DEATH NOTE Killer Within Special Edition,E06646,0,98.0,0.2,78.0,10.70862,0.0,1.3921206,0.0,0.2,0.0,0.05,0.0,0.05,0.0,0.0,0.0,,,,,7.27
