Product Name,Item Number ,Sales Units,SK QTY,Heybox Qty,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
.hack//G.U. Last Recode,E05367,98,8.0,90.0,278,0.9,27.0,3.7640700000000002,368.87886000000003,0.4893291000000001,320.9246082,0.2,64.18492164000001,0.05,16.046230410000003,0.05,16.046230410000003,2.29,224.42000000000002,0.6083840098616657
Accel World VS. Sword Art Online Deluxe Edition,E02452,46,1.0,45.0,278,0.9,27.0,3.7640700000000002,173.14722,0.4893291000000001,150.6380814,0.2,30.12761628,0.05,7.53190407,0.05,7.53190407,2.29,105.34,0.6083840098616657
ACE COMBAT 7: SKIES UNKNOWN,E03174,16,15.0,1.0,268,0.0,268.0,37.36188,597.79008,4.8570444,520.0773696,0.2,104.01547392,0.05,26.00386848,0.05,26.00386848,22.75,364.0,0.6089094017752854
ACE COMBAT 7: SKIES UNKNOWN,E03174,2755,,2755.0,268,0.9,26.0,3.62466,9985.9383,0.4712058,8687.766321000001,0.2,1737.5532642000003,0.05,434.38831605000007,0.05,434.38831605000007,2.21,6088.55,0.6097123592281759
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,1,,1.0,368,0.0,368.0,51.30288,51.30288,6.669374400000001,44.6335056,0.2,8.92670112,0.05,2.23167528,0.05,2.23167528,31.24,31.24,0.6089326759043546
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,66,,66.0,368,0.8,73.0,10.17693,671.6773800000001,1.3230009,584.3593206,0.2,116.87186412000001,0.05,29.217966030000003,0.05,29.217966030000003,6.2,409.2,0.6092210519282336
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,861,3.0,858.0,498,0.8,99.0,13.801590000000001,11883.16899,1.7942067000000002,10338.3570213,0.2,2067.67140426,0.05,516.917851065,0.05,516.917851065,8.41,7241.01,0.6093500821282186
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,7,,7.0,348,0.0,348.0,48.514680000000006,339.60276000000005,6.306908400000001,295.4544012,0.2,59.090880240000004,0.05,14.772720060000001,0.05,14.772720060000001,29.55,206.85,0.60909398969549
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,18,,18.0,298,0.0,298.0,41.544180000000004,747.79524,5.4007434000000005,650.5818588,0.2,130.11637176,0.05,32.52909294,0.05,32.52909294,25.3,455.40000000000003,0.6089902364181938
Baten Kaitos I & II HD Remaster,E06117,35,1.0,34.0,248,0.5,124.0,17.28684,605.0394,2.2472892000000004,526.384278,0.2,105.2768556,0.05,26.3192139,0.05,26.3192139,10.53,368.54999999999995,0.6091338845040504
BLACK CLOVER: QUARTET KNIGHTS,E02895,22,1.0,21.0,268,0.9,26.0,3.62466,79.74252,0.4712058,69.3759924,0.2,13.875198480000002,0.05,3.4687996200000004,0.05,3.4687996200000004,2.21,48.62,0.6097123592281759
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,168,,168.0,288,0.85,43.0,5.99463,1007.09784,0.7793019,876.1751208,0.2,175.23502416,0.05,43.80875604,0.05,43.80875604,3.65,613.1999999999999,0.6088782793933903
BLEACH Rebirth of Souls,E06132,13,,13.0,298,0.0,298.0,41.544180000000004,540.07434,5.4007434000000005,469.8646758,0.2,93.97293516,0.05,23.49323379,0.05,23.49323379,25.3,328.90000000000003,0.6089902364181939
