customer_reference,date,quantity,price,currency
E05367,2025-07,571,27.0,CNY
E05367,2025-08,351,27.0,CNY
E05367,2025-09,119,27.0,CNY
E05367,2025-10,15,55.0,CNY
E05367,2025-11,7,55.0,CNY
E05367,2025-12,1,278.0,CNY
E05367,2025-12,8,55.0,CNY
E05367,2026-01,1,278.0,CNY
E05367,2026-01,4,55.0,CNY
E05367,2026-02,20,55.0,CNY
E05367,2026-03,11,55.0,CNY
E05367,2026-04,7,55.0,CNY
E05367,2026-04,6,27.0,CNY
E05367,2026-05,8,55.0,CNY
E05367,2026-05,25,27.0,CNY
E05367,2026-06,20,27.0,CNY
E03174,2025-07,6822,26.0,CNY
E03174,2025-08,8178,26.0,CNY
E03174,2025-10,2842,26.0,CNY
E03174,2025-10,77,42.0,CNY
E03174,2025-11,5731,26.0,CNY
E03174,2025-11,2,268.0,CNY
E03174,2025-11,183,42.0,CNY
E03174,2025-12,1,268.0,CNY
E03174,2025-12,4164,37.0,CNY
E03174,2026-02,14847,21.0,CNY
E03174,2026-02,18,42.0,CNY
E03174,2026-03,2,268.0,CNY
E03174,2026-03,584,42.0,CNY
E03174,2026-04,467,42.0,CNY
E03174,2026-05,790,42.0,CNY
E03174,2026-05,1,268.0,CNY
E03174,2026-06,1,268.0,CNY
E03174,2026-06,1175,42.0,CNY
E05445,2025-12,281,73.0,CNY
E05444,2025-12,1,498.0,CNY
E05444,2025-12,1349,74.0,CNY
E05445,2025-07,187,73.0,CNY
E05445,2025-08,732,73.0,CNY
E05445,2025-09,625,73.0,CNY
E05445,2025-10,148,73.0,CNY
E05445,2025-11,55,73.0,CNY
E05445,2026-01,108,73.0,CNY
E05445,2026-02,106,73.0,CNY
E05445,2026-03,9,73.0,CNY
E05445,2026-04,118,73.0,CNY
E05445,2026-05,9,73.0,CNY
E05445,2026-06,263,73.0,CNY
E05444,2025-07,541,99.0,CNY
E05444,2025-08,999,99.0,CNY
E05444,2025-09,1040,99.0,CNY
E05444,2025-10,831,99.0,CNY
E05444,2025-11,1,498.0,CNY
E05444,2025-11,779,99.0,CNY
E05444,2026-02,844,99.0,CNY
E05444,2026-03,2,498.0,CNY
E05444,2026-03,248,99.0,CNY
E05444,2026-04,730,99.0,CNY
E05444,2026-05,257,99.0,CNY
E05444,2026-06,3,498.0,CNY
E05444,2026-06,260,99.0,CNY
E05837,2025-12,8,298.0,CNY
E05837,2025-12,2841,149.0,CNY
E05838,2025-07,7,348.0,CNY
E05838,2025-08,2,348.0,CNY
E05838,2025-09,2,348.0,CNY
E05838,2025-09,40,208.0,CNY
E05838,2025-10,2,348.0,CNY
E05838,2025-10,107,208.0,CNY
E05838,2025-11,1,348.0,CNY
E05838,2025-12,2,348.0,CNY
E05838,2025-12,453,174.0,CNY
E05838,2026-01,181,174.0,CNY
E05838,2026-01,2,348.0,CNY
E05838,2026-02,679,174.0,CNY
E05838,2026-02,16,226.0,CNY
E05838,2026-03,8,348.0,CNY
E05838,2026-04,6,348.0,CNY
E05838,2026-05,3,348.0,CNY
E05838,2026-06,202,174.0,CNY
E05838,2026-06,1,348.0,CNY
E05837,2025-07,23,298.0,CNY
E05837,2025-08,26,298.0,CNY
E05837,2025-09,287,178.0,CNY
E05837,2025-09,27,298.0,CNY
E05837,2025-10,601,178.0,CNY
E05837,2025-10,13,298.0,CNY
E05837,2025-11,20,298.0,CNY
E05837,2026-01,1119,149.0,CNY
E05837,2026-01,14,298.0,CNY
E05837,2026-02,5228,149.0,CNY
E05837,2026-02,5,298.0,CNY
E05837,2026-02,154,193.0,CNY
E05837,2026-03,4,298.0,CNY
E05837,2026-04,31,298.0,CNY
E05837,2026-05,41,298.0,CNY
E05837,2026-06,1444,149.0,CNY
E05837,2026-06,22,298.0,CNY
E02452,2025-07,469,27.0,CNY
E02452,2025-08,215,27.0,CNY
E02452,2025-09,329,27.0,CNY
E02452,2025-10,220,27.0,CNY
E02452,2025-11,103,27.0,CNY
E02452,2025-12,85,27.0,CNY
E02452,2026-01,15,27.0,CNY
E02452,2026-02,107,27.0,CNY
E02452,2026-03,46,27.0,CNY
E02452,2026-06,1,138.0,CNY
E02895,2025-07,76,26.0,CNY
E02895,2025-08,1633,26.0,CNY
E02895,2025-09,1318,26.0,CNY
E02895,2025-10,102,26.0,CNY
E02895,2025-11,42,26.0,CNY
E02895,2025-12,40,29.0,CNY
E02895,2026-01,10,26.0,CNY
E02895,2026-01,5,29.0,CNY
E02895,2026-02,30,26.0,CNY
E02895,2026-03,73,26.0,CNY
E02895,2026-04,14,26.0,CNY
E02895,2026-05,16,26.0,CNY
E02895,2026-06,13,26.0,CNY
E02950,2025-07,64,43.0,CNY
E02950,2025-08,91,43.0,CNY
E02950,2025-09,85,43.0,CNY
E02950,2025-10,63,43.0,CNY
E02950,2025-11,44,43.0,CNY
E02950,2025-12,11,46.0,CNY
E02950,2026-01,3,46.0,CNY
E02950,2026-02,29,43.0,CNY
E02950,2026-03,22,43.0,CNY
E02950,2026-04,12,43.0,CNY
E02950,2026-05,26,43.0,CNY
E02950,2026-06,7,43.0,CNY
E06132,2025-07,2,298.0,CNY
E06132,2025-07,2,298.0,CNY
E06132,2025-08,2,298.0,CNY
E06132,2025-09,9,208.0,CNY
E06132,2025-09,4,298.0,CNY
E06132,2025-10,7,208.0,CNY
E06132,2025-10,6,298.0,CNY
E06132,2025-11,15,208.0,CNY
E06132,2025-11,3,298.0,CNY
E06132,2025-12,43,208.0,CNY
E06132,2026-01,1,208.0,CNY
E06132,2026-01,2,298.0,CNY
E06132,2026-02,49,149.0,CNY
E06132,2026-02,1,298.0,CNY
E06132,2026-03,9,178.0,CNY
E06132,2026-04,10,178.0,CNY
E06132,2026-05,12,178.0,CNY
E06132,2026-06,3,178.0,CNY
E06132,2026-06,6,119.0,CNY
E06690,2025-07,1,398.0,CNY
E06690,2025-07,13,278.0,CNY
E06690,2025-08,4,398.0,CNY
E06690,2025-09,2,398.0,CNY
E06690,2025-09,6,278.0,CNY
E06690,2025-10,4,398.0,CNY
E06690,2025-10,6,278.0,CNY
E06690,2025-11,3,398.0,CNY
E06690,2025-11,52,238.0,CNY
E06690,2025-12,7,398.0,CNY
E06690,2025-12,42,278.0,CNY
E06690,2026-01,2,398.0,CNY
E06690,2026-01,1,278.0,CNY
E06690,2026-02,101,199.0,CNY
E06690,2026-03,1,398.0,CNY
E06690,2026-03,7,238.0,CNY
E06690,2026-04,11,238.0,CNY
E06690,2026-05,7,238.0,CNY
E06690,2026-05,1,398.0,CNY
E06690,2026-06,1,398.0,CNY
E06690,2026-06,31,159.0,CNY
E06690,2026-06,8,238.0,CNY
E06691,2025-07,2,498.0,CNY
E06691,2025-07,1,498.0,CNY
E06691,2025-08,3,498.0,CNY
E06691,2025-09,17,348.0,CNY
