customer_reference,date,quantity,price,currency
E05011,2025-07,127,24.0,CNY
E05011,2025-08,2233,24.0,CNY
E05011,2025-08,1,98.0,CNY
E05011,2025-09,66,24.0,CNY
E05011,2025-10,1,98.0,CNY
E05011,2025-10,49,24.0,CNY
E05011,2025-11,1,98.0,CNY
E05011,2025-11,53,24.0,CNY
E05011,2025-12,19,27.0,CNY
E05011,2026-01,7,27.0,CNY
E05011,2026-02,45,24.0,CNY
E05011,2026-03,3,98.0,CNY
E05011,2026-03,21,24.0,CNY
E05011,2026-04,34,24.0,CNY
E05011,2026-05,6,24.0,CNY
E05011,2026-05,1,98.0,CNY
E05011,2026-06,144,14.0,CNY
