customer_reference,date,quantity,price,currency
L00114,2025-09,8,398.0,CNY
L00114,2025-09,133,318.0,CNY
L00114,2025-10,31,318.0,CNY
L00114,2025-10,6,398.0,CNY
L00114,2025-11,30,318.0,CNY
L00114,2025-11,10,398.0,CNY
L00114,2026-01,13,398.0,CNY
L00114,2026-02,251,238.0,CNY
L00114,2026-02,2,258.0,CNY
L00114,2026-02,5,398.0,CNY
L00114,2026-03,93,238.0,CNY
L00114,2026-03,10,398.0,CNY
L00114,2026-04,2,398.0,CNY
L00114,2026-04,112,258.0,CNY
L00114,2026-04,90,238.0,CNY
L00114,2026-05,12,398.0,CNY
L00114,2026-05,53,238.0,CNY
L00114,2026-06,1,238.0,CNY
L00114,2026-06,922,199.0,CNY
L00114,2026-06,8,398.0,CNY
L00114,2025-12,7,398.0,CNY
L00114,2025-12,120,258.0,CNY
