customer_reference,date,quantity,price,currency
E05367,2025-07,5,27.0,CNY
E05367,2025-11,1,55.0,CNY
E05367,2025-12,1,55.0,CNY
E05367,2026-01,1,55.0,CNY
E05367,2026-02,2,55.0,CNY
E05367,2026-06,8,27.0,CNY
E03174,2025-07,26,26.0,CNY
E03174,2025-10,56,26.0,CNY
E03174,2025-11,9,29.0,CNY
E03174,2025-12,4,45.0,CNY
E03174,2026-01,2,45.0,CNY
E03174,2026-02,115,21.0,CNY
E03174,2026-03,3,42.0,CNY
E03174,2026-04,4,42.0,CNY
E03174,2026-05,1,268.0,CNY
E03174,2026-05,4,42.0,CNY
E05445,2025-10,2,73.0,CNY
E05445,2025-11,1,73.0,CNY
E05445,2025-12,2,73.0,CNY
E05445,2026-02,2,73.0,CNY
E05445,2026-03,2,73.0,CNY
E05445,2026-05,1,73.0,CNY
E05444,2025-10,16,99.0,CNY
E05444,2025-11,4,99.0,CNY
E05444,2025-12,14,99.0,CNY
E05444,2026-01,14,99.0,CNY
E05444,2026-02,5,99.0,CNY
E05444,2026-03,1,99.0,CNY
E05444,2026-04,2,99.0,CNY
E05444,2026-06,2,99.0,CNY
E05444,2025-07,6,99.0,CNY
E05838,2025-10,8,208.0,CNY
E05838,2025-12,17,174.0,CNY
E05838,2026-01,13,174.0,CNY
E05838,2026-02,13,174.0,CNY
E05838,2026-06,5,174.0,CNY
E05837,2025-07,2,298.0,CNY
E05837,2025-09,2,298.0,CNY
E05837,2025-10,35,178.0,CNY
E05837,2025-10,1,298.0,CNY
E05837,2025-12,1,149.0,CNY
E05837,2025-12,51,149.0,CNY
E05837,2026-01,39,149.0,CNY
E05837,2026-02,63,149.0,CNY
E05837,2026-04,1,298.0,CNY
E05837,2026-06,19,149.0,CNY
E05837,2026-06,1,298.0,CNY
E02452,2025-07,3,27.0,CNY
E02452,2025-10,3,27.0,CNY
E02452,2025-11,6,27.0,CNY
E02452,2026-01,8,27.0,CNY
E02452,2026-03,2,27.0,CNY
E02452,2026-04,2,27.0,CNY
E02950,2025-11,2,43.0,CNY
E06132,2025-07,2,208.0,CNY
E06132,2026-02,3,149.0,CNY
E06132,2026-03,1,178.0,CNY
E06690,2025-09,1,398.0,CNY
E06690,2025-11,1,278.0,CNY
E06690,2026-01,1,278.0,CNY
E06690,2026-02,1,199.0,CNY
E06690,2026-05,1,238.0,CNY
E06691,2025-10,2,348.0,CNY
E06691,2025-11,2,348.0,CNY
E06691,2026-01,1,348.0,CNY
E06691,2026-02,5,249.0,CNY
E06691,2026-03,3,298.0,CNY
E06117,2025-07,1,124.0,CNY
E06117,2025-10,3,124.0,CNY
E06117,2025-11,1,124.0,CNY
E06117,2026-01,1,124.0,CNY
E06117,2026-02,15,74.0,CNY
E06117,2026-03,1,99.0,CNY
E06117,2026-04,1,99.0,CNY
E03009,2025-07,6,40.0,CNY
E03009,2025-09,1,40.0,CNY
E03009,2025-10,7705,26.0,CNY
E03009,2025-10,60,26.0,CNY
E03009,2025-10,1,40.0,CNY
E03009,2025-11,4,40.0,CNY
E03009,2025-12,33,26.0,CNY
E03009,2026-01,193,29.0,CNY
E03009,2026-02,7,40.0,CNY
E03009,2026-03,4,40.0,CNY
E03009,2026-04,1,40.0,CNY
E03009,2026-06,4,26.0,CNY
E03483,2025-07,14,55.0,CNY
E03483,2025-09,4,36.0,CNY
E03483,2025-09,3,55.0,CNY
E03483,2025-10,389,36.0,CNY
E03483,2025-10,1,55.0,CNY
E03483,2025-11,19,55.0,CNY
E03483,2025-12,10,55.0,CNY
