Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP,Unnamed: 19,Unnamed: 20
.hack//G.U. Last Recode,E05367,1,278.0,0.8,55.0,7.55425,7.55425,0.9820525,6.5721975,0.2,1.3144395,0.05,0.328609875,0.05,0.328609875,4.6,4.6,0.6089287487176093,E05367,Match
Accel World VS. Sword Art Online Deluxe Edition,E02452,28,278.0,0.9,27.0,3.70845,103.8366,0.48209850000000004,90.337842,0.2,18.0675684,0.05,4.5168921,0.05,4.5168921,2.26,63.279999999999994,0.6094190295136781,E02452,Match
ACE COMBAT 7: SKIES UNKNOWN,E03174,1,268.0,0.0,268.0,36.8098,36.8098,4.785274,32.024526,0.2,6.404905200000001,0.05,1.6012263000000002,0.05,1.6012263000000002,22.42,22.42,0.6090769306000032,E03174,Match
ACE COMBAT 7: SKIES UNKNOWN,E03174,12,268.0,0.8,53.0,7.27955,87.3546,0.9463415000000001,75.998502,0.2,15.199700400000001,0.05,3.7999251000000003,0.05,3.7999251000000003,4.43,53.16,0.6085541001847641,E03174,Match
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,5,368.0,0.8,73.0,10.02655,50.13275,1.3034515,43.6154925,0.2,8.7230985,0.05,2.180774625,0.05,2.180774625,6.11,30.55,0.6093820905495908,E05445,Match
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,67,498.0,0.8,99.0,13.59765,911.04255,1.7676945,792.6070185,0.2,158.5214037,0.05,39.630350925,0.05,39.630350925,8.28,554.76,0.6089287487176093,E05444,Match
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,1,498.0,0.0,498.0,68.4003,68.4003,8.892039,59.508261000000005,0.2,11.901652200000001,0.05,2.9754130500000002,0.05,2.9754130500000002,41.66,41.66,0.6090616561623267,E05444,Match
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,4,348.0,0.0,348.0,47.7978,191.1912,6.213714,166.336344,0.2,33.267268800000004,0.05,8.316817200000001,0.05,8.316817200000001,29.11,116.44,0.6090238462858123,E05838,Match
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,30,298.0,0.0,298.0,40.9303,1227.909,5.320939,1068.28083,0.2,213.65616599999998,0.05,53.414041499999996,0.05,53.414041499999996,24.93,747.9,0.6090842236680405,E05837,Match
Baten Kaitos I & II HD Remaster,E06117,13,248.0,0.5,124.0,17.0314,221.40820000000002,2.2140820000000003,192.625134,0.2,38.525026800000006,0.05,9.631256700000002,0.05,9.631256700000002,10.37,134.81,0.608875371372876,E06117,Match
