month,exchange_rate,sheet_name
2024-08,0.132,8月9月
2024-09,0.132,8月9月
2024-10,0.132,10月
2024-11,0.132,11月
2024-12,0.13637,12月
2025-01,0.13637,1月
2025-02,0.13637,2月
2025-03,0.13729,3月
2025-04,0.13735,4月
2025-05,0.13735,5月
2025-06,0.13941,6月
2025-07,0.13924,7月
2025-08,0.14023,8月
2025-09,0.14034,9月
2025-10,0.14075,10月2025
2025-11,0.14129,11月2025
2025-12,0.14283,12月2025
2026-01,0.14386,1月2026
2026-02,0.14591,2月2026
2026-03,0.14467,3月2026
2026-04,0.14625,4月2026
2026-05,0.14778,5月2026
2026-06,0.14711,6月2026
