Normalized Name,Product Name,Item Number,paxCode,related pax code,label,match_status,lookup_score,lookup_bandai_slug
ace_combat_7_skies_unknown_top_gun_maverick_ultimate,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,,PAX0012537704,Ace Combat 7: Skies Unknown - Top Gun: Maverick Edition,base_game_match,,ace_combat_7_skies_unknown_top_gun_maverick
bleach_rebirth_of_souls_deluxe,BLEACH Rebirth of Souls Deluxe Edition,E06690,,PAX0014038022,Bleach Rebirth of Souls,base_game_match,,bleach_rebirth_of_souls
bleach_rebirth_of_souls_ultimate,BLEACH Rebirth of Souls Ultimate Edition,E06691,,PAX0014038022,Bleach Rebirth of Souls,base_game_match,,bleach_rebirth_of_souls
doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,,PAX0012561776,Doraemon Story of Seasons: Friends of the Great Kingdom,base_game_match,,doraemon_story_of_seasons_friends_of_the_great_kingdom
dragon_ball_xenoverse_2_special,DRAGON BALL XENOVERSE 2 Special Edition,E06308,,PAX0008452536,Dragon Ball: Xenoverse 2,base_game_match,,dragon_ball_xenoverse_2
dragon_ball_z_kakarot_master,DRAGON BALL Z : KAKAROT - MASTER EDITION,L00114,,PAX0010474210,Dragon Ball Z: Kakarot,base_game_match,,dragon_ball_z_kakarot
naruto_to_boruto_shinobi_striker_ultimate,NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,E06292,,PAX0009688844,Naruto to Boruto: Shinobi Striker,base_game_match,,naruto_to_boruto_shinobi_striker
naruto_x_boruto_ultimate_ninja_storm_connections_deluxe,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,E06164,,PAX0013555324,Naruto X Boruto Ultimate Ninja Storm Connections,base_game_match,,naruto_x_boruto_ultimate_ninja_storm_connections
naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,E06165,,PAX0013555324,Naruto X Boruto Ultimate Ninja Storm Connections,base_game_match,,naruto_x_boruto_ultimate_ninja_storm_connections
one_piece_pirate_warriors_4_legendary,ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,L00434,,PAX0010605960,One Piece: Pirate Warriors 4,base_game_match,,one_piece_pirate_warriors_4
one_piece_pirate_warriors_4_ultimate,ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,E06098,,PAX0010605960,One Piece: Pirate Warriors 4,base_game_match,,one_piece_pirate_warriors_4
pac_man_mega_tunnel_battle_chomp_champs_deluxe,PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,E06652,,PAX0013651816,Pac-Man Mega Tunnel Battle: Chomp Champs,base_game_match,,pac_man_mega_tunnel_battle_chomp_champs
pac_man_world_2_re_pac_deluxe,PAC-MAN WORLD 2 Re-PAC Deluxe Edition,L00118,,PAX0014976422,Pac-Man World 2 Re-Pac,base_game_match,,pac_man_world_2_re_pac
sand_land_deluxe,SAND LAND Deluxe Edition,E06272,,PAX0013449516,Sand Land,base_game_match,,sand_land
scarlet_nexus_ultimate,SCARLET NEXUS Ultimate Edition,E05643,,PAX0011642280,Scarlet Nexus,base_game_match,,scarlet_nexus
sd_gundam_battle_alliance_deluxe,SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,E05472,,PAX0012417582,SD Gundam Battle Alliance,base_game_match,,sd_gundam_battle_alliance
sd_gundam_g_generation_cross_rays_platinum,SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,E06306,,PAX0011539804,SD Gundam G Generation Cross Rays,base_game_match,,sd_gundam_g_generation_cross_rays
shadow_labyrinth_deluxe,Shadow Labyrinth - Deluxe Edition,L00032,,PAX0014732166,Shadow Labyrinth,base_game_match,,shadow_labyrinth
sword_art_online_fractured_daydream_deluxe,SWORD ART ONLINE Fractured Daydream Deluxe Edition,E06531,,PAX0013976312,Sword Art Online: Fractured Daydream,base_game_match,,sword_art_online_fractured_daydream
sword_art_online_fractured_daydream_premium,SWORD ART ONLINE Fractured Daydream Premium Edition,E06532,,PAX0013976312,Sword Art Online: Fractured Daydream,base_game_match,,sword_art_online_fractured_daydream
synduality_echo_of_ada_ultimate,SYNDUALITY Echo of Ada Ultimate Edition,E06637,,PAX0014079774,Synduality: Echo of Ada,base_game_match,,synduality_echo_of_ada
tales_of_berseria_remastered_deluxe,Tales of Berseria Remastered Deluxe Edition,L00439,,PAX0015323358,Tales of Berseria Remastered,base_game_match,,tales_of_berseria_remastered
tales_of_graces_f_remastered_deluxe,Tales of Graces f Remastered Deluxe Edition,E06689,,PAX0014183542,Tales of Graces f Remastered,base_game_match,,tales_of_graces_f_remastered
tekken_8_advanced,TEKKEN 8 Advanced Edition,L00129,,PAX0013411368,Tekken 8,base_game_match,,tekken_8
tekken_8_season_2_deluxe,TEKKEN 8 Season 2 Deluxe Edition,L00111,,PAX0013411368,Tekken 8,base_game_match,,tekken_8
tekken_8_season_2_ultimate,TEKKEN 8 Season 2 Ultimate Edition,L00112,,PAX0013411368,Tekken 8,base_game_match,,tekken_8
that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_deluxe,That Time I Got Reincarnated as a Slime ISEKAI Chronicles Digital Deluxe Edition,E06534,,PAX0013924904,That Time I Got Reincarnated as a Slime Isekai Chronicles,base_game_match,,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles
towa_and_the_guardians_of_the_sacred_tree_deluxe,Towa and the Guardians of the Sacred Tree Deluxe Edition,L00117,,PAX0014842190,Towa And The Guardians Of The Sacred Tree,base_game_match,,towa_and_the_guardians_of_the_sacred_tree
we_love_katamari_reroll_royal_reverie_special,We Love Katamari REROLL+ Royal Reverie Special Edition,E06305,,PAX0012872162,We Love Katamari Reroll + Royal Reverie,base_game_match,,we_love_katamari_reroll_royal_reverie
death_note_killer_within,DEATH NOTE Killer Within,E06643,,,,distinct_only,,
death_note_killer_within_special,DEATH NOTE Killer Within Special Edition,E06646,,,,distinct_only,,
once_upon_a_katamari_king_of_all_sounds,Once Upon A KATAMARI - King of All Sounds Edition,L00120,,,,distinct_only,,
sd_gundam_g_generation_cross_ray_platinum,SD GUNDAM G GENERATION CROSS RAY Platinum Edition,E06306,,,,distinct_only,,
spy_anya_operation_memories_deluxe,SPY×ANYA: Operation Memories Deluxe Edition,E06533,,,,distinct_only,,
taiko_no_tatsujin_rhythm_festival,Taiko no Tatsujin: Rhythm Festival,E06129,,,,distinct_only,,
taiko_no_tatsujin_rhythm_festival_the_setlist,Taiko no Tatsujin: Rhythm Festival The Setlist Edition,E06635,,,,distinct_only,,
tales_of_arise_beyond_the_dawn,Tales of Arise - Beyond the Dawn Edition,E06160,,,,distinct_only,,
tales_of_arise_beyond_the_dawn_deluxe,Tales of Arise - Beyond the Dawn Deluxe Edition,E06161,,,,distinct_only,,
tales_of_arise_beyond_the_dawn_ultimate,Tales of Arise - Beyond the Dawn Ultimate Edition,E06162,,,,distinct_only,,
the_idolm_ster_starlit_season,THE IDOLM@STER STARLIT SEASON,E03045,,,,distinct_only,,
the_idolm_ster_starlit_season_deluxe,THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,E05096,,,,distinct_only,,
the_idolmaster_starlit_season,THE IDOLMASTER STARLIT SEASON,E03045,,,,distinct_only,,
the_idolmaster_starlit_season_deluxe,THE IDOLMASTER STARLIT SEASON Deluxe Edition,E05096,,,,distinct_only,,
accel_world_vs_sword_art_online_deluxe,Accel World VS. Sword Art Online Deluxe Edition,E02452,PAX0009526222,,Accel World Vs. Sword Art Online (Deluxe Edition),matched,,
ace_combat_7_skies_unknown,ACE COMBAT 7: SKIES UNKNOWN,E03174,PAX0009836302,,Ace Combat 7: Skies Unknown,matched,,
ace_combat_7_skies_unknown_top_gun_maverick,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,PAX0012537704,,Ace Combat 7: Skies Unknown - Top Gun: Maverick Edition,matched,,
