Normalized Name,Product Name,reseller
accel_world_vs_sword_art_online_deluxe,Accel World VS. Sword Art Online Deluxe Edition,Heybox
ace_combat_7_skies_unknown,ACE COMBAT 7: SKIES UNKNOWN,Heybox
ace_combat_7_skies_unknown_top_gun_maverick,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,Heybox
ace_combat_7_skies_unknown_top_gun_maverick_ultimate,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,Heybox
armored_core_vi_fires_of_rubicon,ARMORED CORE VI FIRES OF RUBICON Standard Edition,Heybox
armored_core_vi_fires_of_rubicon_deluxe,ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,Heybox
baten_kaitos_i_ii_hd_remaster,Baten Kaitos I & II HD Remaster,Heybox
black_clover_quartet_knights,BLACK CLOVER: QUARTET KNIGHTS,Heybox
black_clover_quartet_knights_deluxe,BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,Heybox
bleach_rebirth_of_souls,BLEACH Rebirth of Souls,Heybox
bleach_rebirth_of_souls_deluxe,BLEACH Rebirth of Souls Deluxe Edition,Heybox
bleach_rebirth_of_souls_ultimate,BLEACH Rebirth of Souls Ultimate Edition,Heybox
captain_tsubasa_rise_of_new_champions,Captain Tsubasa: Rise of New Champions,Heybox
captain_tsubasa_rise_of_new_champions_deluxe,Captain Tsubasa: Rise of New Champions - Deluxe Edition,Heybox
captain_tsubasa_rise_of_new_champions_ultimate,Captain Tsubasa: Rise of New Champions - Ultimate Edition,Heybox
code_vein,CODE VEIN,Heybox
code_vein_deluxe,CODE VEIN Deluxe Edition,Heybox
code_vein_ii,CODE VEIN II,Heybox
code_vein_ii_deluxe,CODE VEIN II Deluxe Edition,Heybox
code_vein_ii_ultimate,CODE VEIN II Ultimate Edition,Heybox
dark_souls_ii_scholar_of_the_first_sin,DARK SOULS™ II: Scholar of the First Sin,Heybox
dark_souls_iii,DARK SOULS III,Heybox
dark_souls_iii_deluxe,DARK SOULS III Deluxe Edition,Heybox
dark_souls_iii_season_pass,DARK SOULS III - Season Pass,Heybox
dark_souls_remastered,DARK SOULS: REMASTERED,Heybox
death_note_killer_within,DEATH NOTE Killer Within,Heybox
death_note_killer_within_special,DEATH NOTE Killer Within Special Edition,Heybox
digimon_story_cyber_sleuth_complete,Digimon Story Cyber Sleuth: Complete Edition,Heybox
digimon_story_time_stranger,Digimon Story Time Stranger,Heybox
digimon_story_time_stranger_deluxe,Digimon Story Time Stranger Deluxe Edition,Heybox
digimon_story_time_stranger_ultimate,Digimon Story Time Stranger Ultimate Edition,Heybox
digimon_survive,Digimon Survive,Heybox
digimon_world_next_order,Digimon World: Next Order,Heybox
doraemon_story_of_seasons,DORAEMON STORY OF SEASONS,Heybox
doraemon_story_of_seasons_friends_of_the_great_kingdom,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,Heybox
doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,Heybox
dragon_ball_fighterz,DRAGON BALL FighterZ,Heybox
dragon_ball_fighterz_fighterz,DRAGON BALL FighterZ - FighterZ Edition,Heybox
dragon_ball_fighterz_legendary,DRAGON BALL FighterZ - Legendary Edition,Heybox
dragon_ball_sparking_zero,DRAGON BALL: Sparking! ZERO,Heybox
dragon_ball_sparking_zero_deluxe,DRAGON BALL: Sparking! ZERO Deluxe Edition,Heybox
dragon_ball_sparking_zero_ultimate,DRAGON BALL: Sparking! ZERO Ultimate Edition,Heybox
dragon_ball_the_breakers,DRAGON BALL: THE BREAKERS,Heybox
dragon_ball_the_breakers_special,DRAGON BALL: THE BREAKERS Special Edition,Heybox
dragon_ball_xenoverse_2,DRAGON BALL XENOVERSE 2,Heybox
dragon_ball_xenoverse_2_deluxe,DRAGON BALL XENOVERSE 2 Deluxe Edition,Heybox
dragon_ball_xenoverse_2_special,DRAGON BALL XENOVERSE 2 Special Edition,Heybox
dragon_ball_z_kakarot,DRAGON BALL Z: KAKAROT,Heybox
dragon_ball_z_kakarot_daima,DRAGON BALL Z: KAKAROT - DAIMA EDITION,Heybox
dragon_ball_z_kakarot_deluxe,DRAGON BALL Z: KAKAROT Deluxe Edition,Heybox
dragon_ball_z_kakarot_legendary,DRAGON BALL Z: KAKAROT Legendary Edition,Heybox
dragon_ball_z_kakarot_master,DRAGON BALL Z : KAKAROT - MASTER EDITION,Heybox
everybody_s_golf_hot_shots,EVERYBODY'S GOLF HOT SHOTS,Heybox
god_eater_2_rage_burst,GOD EATER 2 Rage Burst,Heybox
god_eater_3,GOD EATER 3,Heybox
gundam_breaker_4,GUNDAM BREAKER 4,Heybox
gundam_breaker_4_deluxe,GUNDAM BREAKER 4 Deluxe Edition,Heybox
gundam_breaker_4_ultimate,GUNDAM BREAKER 4 Ultimate Edition,Heybox
hack_g_u_last_recode,.hack//G.U. Last Recode,Heybox
jojo_s_bizarre_adventure_all_star_battle_r,JoJo's Bizarre Adventure: All-Star Battle R,Heybox
jojo_s_bizarre_adventure_all_star_battle_r_deluxe,JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,Heybox
jojo_s_bizarre_adventure_all_star_battle_r_ultimate,JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,Heybox
jujutsu_kaisen_cursed_clash,Jujutsu Kaisen Cursed Clash,Heybox
jujutsu_kaisen_cursed_clash_deluxe,Jujutsu Kaisen Cursed Clash Deluxe Edition,Heybox
