Normalized Name,Product Name,issue_type,detail
dragon_ball_fighterz_legendary,DRAGON BALL FighterZ - Legendary Edition,competing_item_numbers,E02596=20p; E06163=2p; E03177=1p
dragon_ball_xenoverse_2_special,DRAGON BALL XENOVERSE 2 Special Edition,competing_item_numbers,E06308=20p; E05644=2p
one_piece_pirate_warriors_4,ONE PIECE: PIRATE WARRIORS 4,competing_item_numbers,E02973=20p; E05387=2p; E04727=1p
scarlet_nexus_deluxe,SCARLET NEXUS Deluxe Edition,competing_item_numbers,E04727=19p; E02758=2p; L11104=1p
tales_of_arise_beyond_the_dawn_ultimate,Tales of Arise - Beyond the Dawn Ultimate Edition,competing_item_numbers,E06162=20p; E06168=2p
tekken_8_deluxe,TEKKEN 8 Deluxe Edition,competing_item_numbers,E06226=20p; E06227=3p
digimon_story_time_stranger_deluxe,Digimon Story Time Stranger Deluxe Edition,malformed_dropped,dropped ['0']
digimon_story_time_stranger_ultimate,Digimon Story Time Stranger Ultimate Edition,malformed_dropped,dropped ['0']
everybody_s_golf_hot_shots,EVERYBODY'S GOLF HOT SHOTS,shared_item_number,L00036 also on: ['everybody_s_golf_hotshots']
everybody_s_golf_hotshots,Everybody's Golf: Hotshots,shared_item_number,L00036 also on: ['everybody_s_golf_hot_shots']
god_eater_3,GOD EATER 3,shared_item_number,E03177 also on: ['god_eaters_3']
god_eaters_3,God Eaters 3,shared_item_number,E03177 also on: ['god_eater_3']
sd_gundam_g_generation_cross_ray,SD GUNDAM G GENERATION CROSS RAY,shared_item_number,E02985 also on: ['sd_gundam_g_generation_cross_rays']
sd_gundam_g_generation_cross_ray_platinum,SD GUNDAM G GENERATION CROSS RAY Platinum Edition,shared_item_number,E06306 also on: ['sd_gundam_g_generation_cross_rays_platinum']
sd_gundam_g_generation_cross_rays,SD GUNDAM G GENERATION CROSS RAYS,shared_item_number,E02985 also on: ['sd_gundam_g_generation_cross_ray']
sd_gundam_g_generation_cross_rays_platinum,SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,shared_item_number,E06306 also on: ['sd_gundam_g_generation_cross_ray_platinum']
the_idolm_ster_starlit_season,THE IDOLM@STER STARLIT SEASON,shared_item_number,E03045 also on: ['the_idolmaster_starlit_season']
the_idolm_ster_starlit_season_deluxe,THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,shared_item_number,E05096 also on: ['the_idolmaster_starlit_season_deluxe']
the_idolmaster_starlit_season,THE IDOLMASTER STARLIT SEASON,shared_item_number,E03045 also on: ['the_idolm_ster_starlit_season']
the_idolmaster_starlit_season_deluxe,THE IDOLMASTER STARLIT SEASON Deluxe Edition,shared_item_number,E05096 also on: ['the_idolm_ster_starlit_season_deluxe']
