Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,needs_review,review_reasons
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,E02452,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02452=22p; E04157=1p,False,
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,E03174,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03174=22p,False,
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,E05445,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05445=20p; E05444=1p,False,
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,E05444,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05444=20p,False,
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,E05837,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05837=22p,False,
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,E05838,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05838=22p,False,
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,E06117,18,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E06117=18p,False,
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,E02895,22,2024-08_2024-09,2026-06,"Alibaba, Heybox",E02895=22p,False,
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,E02950,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02950=22p,False,
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,E06132,16,2025-03,2026-06,"Alibaba, Heybox, Sonkwo",E06132=16p,False,
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,E06690,16,2025-03,2026-06,"Alibaba, Heybox, Sonkwo",E06690=16p,False,
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,E06691,16,2025-03,2026-06,"Alibaba, Heybox, Sonkwo",E06691=16p,False,
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,E03350,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03350=22p,False,
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,E04120,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04120=22p,False,
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,E06275,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06275=22p,False,
CODE VEIN,code_vein,E03009,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03009=22p,False,
CODE VEIN Deluxe Edition,code_vein_deluxe,E03483,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03483=22p,False,
CODE VEIN II,code_vein_ii,L00239,6,2026-01,2026-06,"Heybox, Sonkwo",L00239=6p,False,
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,L00240,6,2026-01,2026-06,"Heybox, Sonkwo",L00240=6p,False,
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,L00241,6,2026-01,2026-06,"Heybox, Sonkwo",L00241=6p,False,
