Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Heybox,93.1,29.61,CNY,2025-01,2025-01
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,1.55,236.31,CNY,2025-01,2025-01
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,145.05,48.66,CNY,2025-01,2025-01
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Heybox,44.32,78.56,CNY,2025-01,2025-01
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Heybox,346.75,107.92,CNY,2025-01,2025-01
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Heybox,852.86,45.79,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,6.87,366.87,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,16.03,194.36,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,36.51,336.18,CNY,2025-01,2025-01
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,393.64,195.49,CNY,2025-01,2025-01
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Heybox,108.59,30.5,CNY,2025-01,2025-01
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Heybox,32.28,22.94,CNY,2025-01,2025-01
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Heybox,16.2,38.63,CNY,2025-01,2025-01
CODE VEIN,code_vein,PAX0010324338,Heybox,419.52,43.24,CNY,2025-01,2025-01
