Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Alibaba,0.0,242.34,CNY,2025-09,2025-09
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Alibaba,0.0,238.86,CNY,2025-09,2025-09
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Alibaba,0.0,394.78,CNY,2025-09,2025-09
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Alibaba,0.0,534.92,CNY,2025-09,2025-09
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Alibaba,0.0,312.74,CNY,2025-09,2025-09
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Alibaba,0.0,340.66,CNY,2025-09,2025-09
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Alibaba,0.0,294.66,CNY,2025-09,2025-09
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Alibaba,0.0,234.68,CNY,2025-09,2025-09
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Alibaba,0.0,263.6,CNY,2025-09,2025-09
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Alibaba,0.0,279.51,CNY,2025-09,2025-09
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Alibaba,0.0,348.81,CNY,2025-09,2025-09
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Alibaba,0.0,548.67,CNY,2025-09,2025-09
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Alibaba,0.0,211.82,CNY,2025-09,2025-09
CODE VEIN,code_vein,PAX0010324338,Alibaba,0.0,240.14,CNY,2025-09,2025-09
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Alibaba,0.0,403.41,CNY,2025-09,2025-09
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Alibaba,0.0,207.97,CNY,2025-09,2025-09
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Alibaba,0.0,272.98,CNY,2025-09,2025-09
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Alibaba,0.0,368.7,CNY,2025-09,2025-09
DARK SOULS III,dark_souls_iii,PAX0007785082,Alibaba,0.0,292.88,CNY,2025-09,2025-09
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Alibaba,0.0,151.74,CNY,2025-09,2025-09
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Alibaba,0.0,420.82,CNY,2025-09,2025-09
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Alibaba,0.0,217.41,CNY,2025-09,2025-09
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Alibaba,0.0,226.46,CNY,2025-09,2025-09
DEATH NOTE Killer Within,death_note_killer_within,,Alibaba,0.0,43.1,CNY,2025-09,2025-09
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,,Alibaba,0.0,89.16,CNY,2025-09,2025-09
DIGIMON STORY TIME STRANGER,digimon_story_time_stranger,PAX0014830086,Alibaba,0.0,271.47,CNY,2025-09,2025-09
DIGIMON STORY TIME STRANGER Deluxe Edition,digimon_story_time_stranger_deluxe,PAX0014928822,Alibaba,0.0,383.9,CNY,2025-09,2025-09
DIGIMON STORY TIME STRANGER Ultimate Edition,digimon_story_time_stranger_ultimate,PAX0014928856,Alibaba,0.0,595.52,CNY,2025-09,2025-09
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,PAX0012561776,Alibaba,0.0,281.03,CNY,2025-09,2025-09
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Alibaba,0.0,303.53,CNY,2025-09,2025-09
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Alibaba,0.0,221.37,CNY,2025-09,2025-09
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Alibaba,0.0,319.18,CNY,2025-09,2025-09
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Alibaba,0.0,365.15,CNY,2025-09,2025-09
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Alibaba,0.0,104.11,CNY,2025-09,2025-09
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,PAX0012760472,Alibaba,0.0,187.58,CNY,2025-09,2025-09
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,,Alibaba,0.0,276.25,CNY,2025-09,2025-09
DRAGON BALL Z: KAKAROT,dragon_ball_z_kakarot,PAX0010474210,Alibaba,0.0,322.33,CNY,2025-09,2025-09
DRAGON BALL Z: KAKAROT Deluxe Edition,dragon_ball_z_kakarot_deluxe,PAX0010489986,Alibaba,0.0,361.01,CNY,2025-09,2025-09
