Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,51.48,24.47,CNY,2025-10,2025-10
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Sonkwo,2.24,79.07,CNY,2025-10,2025-10
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,15.04,85.01,CNY,2025-10,2025-10
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Sonkwo,8.52,195.16,CNY,2025-10,2025-10
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,30.74,152.05,CNY,2025-10,2025-10
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,0.91,315.28,CNY,2025-10,2025-10
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Sonkwo,3.33,30.15,CNY,2025-10,2025-10
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Sonkwo,1.89,326.53,CNY,2025-10,2025-10
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Sonkwo,3.39,110.78,CNY,2025-10,2025-10
CODE VEIN,code_vein,PAX0010324338,Sonkwo,6596.95,24.14,CNY,2025-10,2025-10
CODE VEIN,code_vein,PAX0010324338,Sonkwo,64.3,23.97,CNY,2025-10,2025-10
CODE VEIN,code_vein,PAX0010324338,Sonkwo,1.07,35.43,CNY,2025-10,2025-10
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,344.51,39.67,CNY,2025-10,2025-10
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,0.89,62.44,CNY,2025-10,2025-10
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Sonkwo,3.38,24.31,CNY,2025-10,2025-10
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Sonkwo,0.93,41.32,CNY,2025-10,2025-10
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Sonkwo,5.41,60.59,CNY,2025-10,2025-10
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Sonkwo,66.74,177.31,CNY,2025-10,2025-10
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Sonkwo,14.88,111.19,CNY,2025-10,2025-10
DARK SOULS™ III,dark_souls_iii,PAX0007785082,Sonkwo,11.29,151.5,CNY,2025-10,2025-10
DARK SOULS™: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,51.14,92.58,CNY,2025-10,2025-10
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Sonkwo,0.89,201.43,CNY,2025-10,2025-10
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Sonkwo,2.64,33.86,CNY,2025-10,2025-10
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Sonkwo,34.32,90.38,CNY,2025-10,2025-10
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Sonkwo,41.37,26.14,CNY,2025-10,2025-10
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,,Sonkwo,5.56,133.94,CNY,2025-10,2025-10
DRAGON BALL Z : KAKAROT - MASTER EDITION,dragon_ball_z_kakarot_master,,Sonkwo,1181.34,115.91,CNY,2025-10,2025-10
DRAGON BALL Z: KAKAROT,dragon_ball_z_kakarot,PAX0010474210,Sonkwo,489.77,83.06,CNY,2025-10,2025-10
DRAGON BALL Z: KAKAROT - DAIMA EDITION,dragon_ball_z_kakarot_daima,PAX0015502742,Sonkwo,232.81,83.46,CNY,2025-10,2025-10
Digimon Story Cyber Sleuth: Complete Edition,digimon_story_cyber_sleuth_complete,PAX0010995022,Sonkwo,1266.41,18.94,CNY,2025-10,2025-10
Digimon Story Time Stranger,digimon_story_time_stranger,PAX0014830086,Sonkwo,178.4,323.18,CNY,2025-10,2025-10
Digimon Story Time Stranger Deluxe Edition,digimon_story_time_stranger_deluxe,PAX0014928822,Sonkwo,71.8,500.96,CNY,2025-10,2025-10
Digimon Story Time Stranger Ultimate Edition,digimon_story_time_stranger_ultimate,PAX0014928856,Sonkwo,88.51,595.98,CNY,2025-10,2025-10
Digimon Survive,digimon_survive,PAX0012413910,Sonkwo,30.11,43.11,CNY,2025-10,2025-10
Digimon World: Next Order,digimon_world_next_order,PAX0012723344,Sonkwo,29.72,35.55,CNY,2025-10,2025-10
Digimon World: Next Order,digimon_world_next_order,PAX0012723344,Sonkwo,1.13,216.91,CNY,2025-10,2025-10
EVERYBODY'S GOLF HOT SHOTS,everybody_s_golf_hot_shots,PAX0014836172,Sonkwo,0.93,158.53,CNY,2025-10,2025-10
GOD EATER 2 Rage Burst,god_eater_2_rage_burst,PAX0009309268,Sonkwo,6.19,28.04,CNY,2025-10,2025-10
GOD EATER 3,god_eater_3,PAX0009956560,Sonkwo,9.64,22.43,CNY,2025-10,2025-10
JoJo's Bizarre Adventure: All-Star Battle R,jojo_s_bizarre_adventure_all_star_battle_r,PAX0012435840,Sonkwo,17.53,42.28,CNY,2025-10,2025-10
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,jojo_s_bizarre_adventure_all_star_battle_r_deluxe,PAX0013153750,Sonkwo,8.68,103.28,CNY,2025-10,2025-10
Jujutsu Kaisen Cursed Clash Deluxe Edition,jujutsu_kaisen_cursed_clash_deluxe,PAX0014089430,Sonkwo,1.09,221.26,CNY,2025-10,2025-10
Klonoa Phantasy Reverie Series,klonoa_phantasy_reverie_series,PAX0012403812,Sonkwo,1.72,41.82,CNY,2025-10,2025-10
Little Nightmares III,little_nightmares_iii,PAX0013475322,Sonkwo,9.02,203.31,CNY,2025-10,2025-10
Little Nightmares III,little_nightmares_iii,PAX0013475322,Sonkwo,3.37,173.47,CNY,2025-10,2025-10
Little Nightmares III Digital Deluxe Edition,little_nightmares_iii_deluxe,PAX0015081176,Sonkwo,7.47,231.33,CNY,2025-10,2025-10
Little Nightmares III Digital Deluxe Edition,little_nightmares_iii_deluxe,PAX0015081176,Sonkwo,1.9,369.36,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,naruto_shippuden_ultimate_ninja_storm_2,PAX0010567030,Sonkwo,2.68,25.42,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto_shippuden_ultimate_ninja_storm_4,PAX0007774372,Sonkwo,50.52,42.99,CNY,2025-10,2025-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,naruto_shippuden_ultimate_ninja_storm_4,PAX0007774372,Sonkwo,0.91,106.93,CNY,2025-10,2025-10
