Product Name,Normalized Name,Customer Reference,months_seen,first_period,last_period,resellers,item_number_candidates,merged_from,needs_review,review_reasons,paxCode,steamId,matched_label,pax_match_status,pax_match_score,related_pax_codes,pax_needs_review,pax_review_reason
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,E02452,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02452=22p; E04157=1p,,False,,PAX0009526222,607880,Accel World Vs. Sword Art Online (Deluxe Edition),exact,1.0,"PAX0010948476, PAX0011267056, PAX0015912306",False,
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,E03174,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03174=22p,,False,,PAX0009836302,502500,Ace Combat 7: Skies Unknown,exact,1.0,"PAX0009942008, PAX0012109542, PAX0011528312",False,
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,E05445,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05445=20p; E05444=1p,,False,,PAX0012537704,,Ace Combat 7: Skies Unknown - Top Gun: Maverick Edition,exact,1.0,,False,
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,E05444,20,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05444=20p,,False,,,,Ace Combat 7: Skies Unknown - Top Gun: Maverick Edition,base_game,,PAX0012537704,True,duplicate_paxCode:PAX0012537704
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,E05837,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05837=22p,,False,,PAX0013077488,1888160,Armored Core VI: Fires Of Rubicon,exact,1.0,"PAX0013073340, PAX0013073374",False,
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,E05838,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E05838=22p,,False,,PAX0013069260,,Armored Core VI: Fires Of Rubicon (Deluxe Edition),exact,1.0,,False,
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,E06117,18,2024-12,2026-06,"Alibaba, Heybox, Sonkwo",E06117=18p,,False,,PAX0014235936,2146170,Baten Kaitos I & II HD Remaster,exact,1.0,,False,
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,E02895,22,2024-08_2024-09,2026-06,"Alibaba, Heybox",E02895=22p,,False,,PAX0009950542,714080,Black Clover: Quartet Knights,exact,1.0,"PAX0010585084, PAX0011792288",False,
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,E02950,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E02950=22p,,False,,PAX0009950610,,Black Clover: Quartet Knights (Deluxe Edition),exact,1.0,,False,
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,E06132,16,2025-03,2026-06,"Alibaba, Heybox, Sonkwo",E06132=16p,,False,,PAX0014038022,1689620,Bleach Rebirth of Souls,exact,1.0,,False,
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,E06690,16,2025-03,2026-06,"Alibaba, Heybox, Sonkwo",E06690=16p,,False,,,1689620,Bleach Rebirth of Souls,base_game,,PAX0014038022,True,duplicate_paxCode:PAX0014038022
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,E06691,16,2025-03,2026-06,"Alibaba, Heybox, Sonkwo",E06691=16p,,False,,,1689620,Bleach Rebirth of Souls,base_game,,PAX0014038022,True,duplicate_paxCode:PAX0014038022
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,E03350,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03350=22p,,False,,PAX0010849876,1163550,Captain Tsubasa: Rise of New Champions,exact,1.0,"PAX0011828022, PAX0012071802, PAX0014401074",False,
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,E04120,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E04120=22p,,False,,PAX0010849944,,Captain Tsubasa: Rise of New Champions (Deluxe Edition),exact,1.0,,False,
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,E06275,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E06275=22p,,False,,PAX0014008034,,Captain Tsubasa: Rise of New Champions (Ultimate Edition),exact,1.0,,False,
CODE VEIN,code_vein,E03009,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03009=22p,,False,,PAX0010324338,678960,Code Vein,exact,1.0,"PAX0010464792, PAX0011771990, PAX0010508924, PAX0010593584",False,
CODE VEIN Deluxe Edition,code_vein_deluxe,E03483,22,2024-08_2024-09,2026-06,"Alibaba, Heybox, Sonkwo",E03483=22p,,False,,PAX0011496930,678960,Code Vein (Deluxe Edition),exact,1.0,"PAX0010361296, PAX0010508958, PAX0011312922",False,
CODE VEIN II,code_vein_ii,L00239,6,2026-01,2026-06,"Heybox, Sonkwo",L00239=6p,,False,,PAX0014842054,2362060,Code Vein II,exact,1.0,PAX0015167366,False,
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,L00240,6,2026-01,2026-06,"Heybox, Sonkwo",L00240=6p,,False,,PAX0015167434,2362060,Code Vein II (Deluxe Edition),exact,1.0,,False,
