Product Name,Normalized Name,Customer Reference,paxCode,related_pax_codes,pax_match_status,pax_review_reason
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,E05444,,PAX0012537704,base_game,duplicate_paxCode:PAX0012537704
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,E06690,,PAX0014038022,base_game,duplicate_paxCode:PAX0014038022
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,E06691,,PAX0014038022,base_game,duplicate_paxCode:PAX0014038022
DEATH NOTE Killer Within,death_note_killer_within,E06643,,,unmatched,unmatched
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,E06646,,,unmatched,unmatched
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,E05733,,"PAX0012561776, PAX0014680690",base_game,duplicate_paxCode:PAX0012561776
DRAGON BALL XENOVERSE 2 Special Edition,dragon_ball_xenoverse_2_special,E06308,,"PAX0008452536, PAX0011772466, PAX0012306674, PAX0010401620, PAX0010476862, PAX0010515724, PAX0011083252, PAX0013007346",base_game,duplicate_paxCode:PAX0008452536
DRAGON BALL Z : KAKAROT - MASTER EDITION,dragon_ball_z_kakarot_master,L00114,,"PAX0010474210, PAX0010507598, PAX0011221632, PAX0011514134, PAX0012925712, PAX0015493800",base_game,duplicate_paxCode:PAX0010474210
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,naruto_to_boruto_shinobi_striker_ultimate,E06292,,"PAX0009688844, PAX0010585968, PAX0011909486, PAX0010146858, PAX0011078050, PAX0011555104",base_game,duplicate_paxCode:PAX0009688844
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,naruto_x_boruto_ultimate_ninja_storm_connections_deluxe,E06164,,PAX0013555324,base_game,duplicate_paxCode:PAX0013555324
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,E06165,,PAX0013555324,base_game,duplicate_paxCode:PAX0013555324
Once Upon A KATAMARI - King of All Sounds Edition,once_upon_a_katamari_king_of_all_sounds,L00120,,,unmatched,unmatched
ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,one_piece_pirate_warriors_4_legendary,L00434,,"PAX0010605960, PAX0011357190, PAX0011727654, PAX0014193742",base_game,duplicate_paxCode:PAX0010605960
ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,one_piece_pirate_warriors_4_ultimate,E06098,,"PAX0010605960, PAX0011357190, PAX0011727654, PAX0014193742",base_game,duplicate_paxCode:PAX0010605960
PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,pac_man_mega_tunnel_battle_chomp_champs_deluxe,E06652,,"PAX0013651816, PAX0013651850, PAX0013651884",base_game,duplicate_paxCode:PAX0013651816
PAC-MAN WORLD 2 Re-PAC Deluxe Edition,pac_man_world_2_re_pac_deluxe,L00118,,PAX0014976422,base_game,duplicate_paxCode:PAX0014976422
SAND LAND Deluxe Edition,sand_land_deluxe,E06272,,"PAX0013449516, PAX0013629852",base_game,duplicate_paxCode:PAX0013449516
SCARLET NEXUS Ultimate Edition,scarlet_nexus_ultimate,E05643,,PAX0011642280,base_game,duplicate_paxCode:PAX0011642280
SD GUNDAM BATTLE ALLIANCE - Deluxe Edition,sd_gundam_battle_alliance_deluxe,E05472,,PAX0012417582,base_game,duplicate_paxCode:PAX0012417582
SD GUNDAM G GENERATION CROSS RAYS Platinum Edition,sd_gundam_g_generation_cross_rays_platinum,E06306,,PAX0011539804,base_game,duplicate_paxCode:PAX0011539804
Shadow Labyrinth - Deluxe Edition,shadow_labyrinth_deluxe,L00032,,"PAX0014732166, PAX0014912026",base_game,duplicate_paxCode:PAX0014732166
SPY×ANYA: Operation Memories Deluxe Edition,spy_anya_operation_memories_deluxe,E06533,,,unmatched,unmatched
SUPER ROBOT WARS Y - Expansion Pack,super_robot_wars_y_expansion_pack,L52098,,,unmatched,unmatched
SWORD ART ONLINE Fractured Daydream Deluxe Edition,sword_art_online_fractured_daydream_deluxe,E06531,,"PAX0013976312, PAX0014135432",base_game,duplicate_paxCode:PAX0013976312
SWORD ART ONLINE Fractured Daydream Premium Edition,sword_art_online_fractured_daydream_premium,E06532,,"PAX0013976312, PAX0014135432",base_game,duplicate_paxCode:PAX0013976312
SYNDUALITY Echo of Ada Ultimate Edition,synduality_echo_of_ada_ultimate,E06637,,"PAX0014079774, PAX0015630616",base_game,duplicate_paxCode:PAX0014079774
Taiko no Tatsujin: Rhythm Festival,taiko_no_tatsujin_rhythm_festival,E06129,,,unmatched,unmatched
Taiko no Tatsujin: Rhythm Festival The Setlist Edition,taiko_no_tatsujin_rhythm_festival_the_setlist,E06635,,,unmatched,unmatched
Tales of Arise - Beyond the Dawn Edition,tales_of_arise_beyond_the_dawn,E06160,,,unmatched,unmatched
Tales of Arise - Beyond the Dawn Deluxe Edition,tales_of_arise_beyond_the_dawn_deluxe,E06161,,,unmatched,unmatched
Tales of Arise - Beyond the Dawn Ultimate Edition,tales_of_arise_beyond_the_dawn_ultimate,E06162,,,unmatched,unmatched
Tales of Berseria Remastered Deluxe Edition,tales_of_berseria_remastered_deluxe,L00439,,PAX0015323358,base_game,duplicate_paxCode:PAX0015323358
Tales of Graces f Remastered Deluxe Edition,tales_of_graces_f_remastered_deluxe,E06689,,PAX0014183542,base_game,duplicate_paxCode:PAX0014183542
TEKKEN 8 Advanced Edition,tekken_8_advanced,L00129,,"PAX0013411368, PAX0013418984, PAX0013420072",base_game,duplicate_paxCode:PAX0013411368
TEKKEN 8 Season 2 Deluxe Edition,tekken_8_season_2_deluxe,L00111,,"PAX0013411368, PAX0013418984, PAX0013420072",base_game,duplicate_paxCode:PAX0013411368
TEKKEN 8 Season 2 Ultimate Edition,tekken_8_season_2_ultimate,L00112,,"PAX0013411368, PAX0013418984, PAX0013420072",base_game,duplicate_paxCode:PAX0013411368
That Time I Got Reincarnated as a Slime ISEKAI Chronicles Deluxe Edition,that_time_i_got_reincarnated_as_a_slime_isekai_chronicles_deluxe,E06534,,PAX0013924904,base_game,duplicate_paxCode:PAX0013924904
THE IDOLM@STER STARLIT SEASON,the_idolm_ster_starlit_season,E03045,,,unmatched,unmatched
THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition,the_idolm_ster_starlit_season_deluxe,E05096,,,unmatched,unmatched
Towa and the Guardians of the Sacred Tree Deluxe Edition,towa_and_the_guardians_of_the_sacred_tree_deluxe,L00117,,PAX0014842190,base_game,duplicate_paxCode:PAX0014842190
We Love Katamari REROLL+ Royal Reverie Special Edition,we_love_katamari_reroll_royal_reverie_special,E06305,,PAX0012872162,base_game,duplicate_paxCode:PAX0012872162
