Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Heybox,1,39.58,CNY,2026-04,2026-04
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,32,38.36,CNY,2026-04,2026-04
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,1,35.82,CNY,2026-04,2026-04
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,1,86.74,CNY,2026-04,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Heybox,11,66.84,CNY,2026-04,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Heybox,38,86.72,CNY,2026-04,2026-04
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,1,300.6,CNY,2026-04,2026-04
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,3,282.54,CNY,2026-04,2026-04
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,1,332.87,CNY,2026-04,2026-04
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Sonkwo,1,23.38,CNY,2026-04,2026-04
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Heybox,2,24.31,CNY,2026-04,2026-04
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Heybox,1,48.61,CNY,2026-04,2026-04
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Heybox,1,197.95,CNY,2026-04,2026-04
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Heybox,1,255.24,CNY,2026-04,2026-04
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Heybox,2,331.89,CNY,2026-04,2026-04
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Heybox,1,106.0,CNY,2026-04,2026-04
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Sonkwo,1,86.29,CNY,2026-04,2026-04
CODE VEIN,code_vein,PAX0010324338,Heybox,50,40.23,CNY,2026-04,2026-04
CODE VEIN,code_vein,PAX0010324338,Sonkwo,1,45.05,CNY,2026-04,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Heybox,74,37.75,CNY,2026-04,2026-04
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,1,46.88,CNY,2026-04,2026-04
CODE VEIN II,code_vein_ii,PAX0014842054,Heybox,3,193.76,CNY,2026-04,2026-04
CODE VEIN II,code_vein_ii,PAX0014842054,Sonkwo,1,214.58,CNY,2026-04,2026-04
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,PAX0015167434,Heybox,1,253.59,CNY,2026-04,2026-04
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,PAX0015167434,Sonkwo,1,316.78,CNY,2026-04,2026-04
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,PAX0015167570,Heybox,2,309.65,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Heybox,4,21.25,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Heybox,1,53.25,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,captain_tsubasa_rise_of_new_champions_deluxe,PAX0010849944,Sonkwo,1,41.36,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Heybox,6,63.6,CNY,2026-04,2026-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,captain_tsubasa_rise_of_new_champions_ultimate,PAX0014008034,Sonkwo,1,66.54,CNY,2026-04,2026-04
DARK SOULS III,dark_souls_iii,PAX0007785082,Heybox,64,150.5,CNY,2026-04,2026-04
DARK SOULS III - Season Pass,dark_souls_iii_season_pass,PAX0007947534,Heybox,27,91.61,CNY,2026-04,2026-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Heybox,189,179.98,CNY,2026-04,2026-04
DARK SOULS III Deluxe Edition,dark_souls_iii_deluxe,PAX0009513030,Sonkwo,3,213.46,CNY,2026-04,2026-04
DARK SOULS: REMASTERED,dark_souls_remastered,PAX0009575522,Heybox,288,86.18,CNY,2026-04,2026-04
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Heybox,86,73.74,CNY,2026-04,2026-04
DARK SOULS™ II: Scholar of the First Sin,dark_souls_ii_scholar_of_the_first_sin,PAX0006971122,Sonkwo,163,87.92,CNY,2026-04,2026-04
DARK SOULS™ III,dark_souls_iii,PAX0007785082,Sonkwo,1,130.8,CNY,2026-04,2026-04
DARK SOULS™: REMASTERED,dark_souls_remastered,PAX0009575522,Sonkwo,3,115.6,CNY,2026-04,2026-04
DEATH NOTE Killer Within,death_note_killer_within,,Heybox,8,22.3,CNY,2026-04,2026-04
DEATH NOTE Killer Within Special Edition,death_note_killer_within_special,,Heybox,1,65.06,CNY,2026-04,2026-04
DORAEMON STORY OF SEASONS,doraemon_story_of_seasons,PAX0010731760,Heybox,1,99.71,CNY,2026-04,2026-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,doraemon_story_of_seasons_friends_of_the_great_kingdom,PAX0012561776,Heybox,2,131.03,CNY,2026-04,2026-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,,Heybox,1,208.21,CNY,2026-04,2026-04
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Heybox,12,26.71,CNY,2026-04,2026-04
DRAGON BALL FighterZ,dragon_ball_fighterz,PAX0009332320,Sonkwo,1,27.54,CNY,2026-04,2026-04
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Heybox,8,56.63,CNY,2026-04,2026-04
DRAGON BALL FighterZ - FighterZ Edition,dragon_ball_fighterz_fighterz,PAX0009410826,Sonkwo,1,44.62,CNY,2026-04,2026-04
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Heybox,15,104.88,CNY,2026-04,2026-04
DRAGON BALL FighterZ - Legendary Edition,dragon_ball_fighterz_legendary,PAX0013747526,Sonkwo,1,88.35,CNY,2026-04,2026-04
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Heybox,41,31.5,CNY,2026-04,2026-04
DRAGON BALL XENOVERSE 2,dragon_ball_xenoverse_2,PAX0008452536,Sonkwo,1,31.87,CNY,2026-04,2026-04
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,PAX0012760472,Heybox,5,53.81,CNY,2026-04,2026-04
DRAGON BALL XENOVERSE 2 Deluxe Edition,dragon_ball_xenoverse_2_deluxe,PAX0012760472,Sonkwo,1,55.32,CNY,2026-04,2026-04
