Product Name,Normalized Name,paxCode,Customer,amount,selling_price,currency,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Alibaba,0.0,259.58,CNY,2026-05,2026-05
.hack//G.U. Last Recode,hack_g_u_last_recode,PAX0011204972,Heybox,12.25,41.67,CNY,2026-05,2026-05
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Alibaba,0.0,243.44,CNY,2026-05,2026-05
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Heybox,474.34,37.03,CNY,2026-05,2026-05
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,PAX0009836302,Sonkwo,4.97,46.59,CNY,2026-05,2026-05
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Sonkwo,1.02,113.07,CNY,2026-05,2026-05
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Alibaba,0.0,332.07,CNY,2026-05,2026-05
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,PAX0012537704,Heybox,36.54,64.59,CNY,2026-05,2026-05
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Alibaba,0.0,539.96,CNY,2026-05,2026-05
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,,Heybox,563.33,93.54,CNY,2026-05,2026-05
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Alibaba,0.0,301.5,CNY,2026-05,2026-05
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,armored_core_vi_fires_of_rubicon_deluxe,PAX0013069260,Heybox,179.31,306.34,CNY,2026-05,2026-05
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Alibaba,0.0,256.68,CNY,2026-05,2026-05
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Heybox,755.49,338.53,CNY,2026-05,2026-05
ARMORED CORE VI FIRES OF RUBICON Standard Edition,armored_core_vi_fires_of_rubicon,PAX0013073340,Sonkwo,24.75,277.04,CNY,2026-05,2026-05
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Alibaba,0.0,251.46,CNY,2026-05,2026-05
Accel World VS. Sword Art Online Deluxe Edition,accel_world_vs_sword_art_online_deluxe,PAX0009526222,Sonkwo,1.9,23.28,CNY,2026-05,2026-05
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Alibaba,0.0,254.08,CNY,2026-05,2026-05
BLACK CLOVER: QUARTET KNIGHTS,black_clover_quartet_knights,PAX0009950542,Heybox,5.45,27.72,CNY,2026-05,2026-05
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Alibaba,0.0,255.58,CNY,2026-05,2026-05
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,black_clover_quartet_knights_deluxe,PAX0009950610,Heybox,6.67,40.49,CNY,2026-05,2026-05
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Alibaba,0.0,262.02,CNY,2026-05,2026-05
BLEACH Rebirth of Souls,bleach_rebirth_of_souls,PAX0014038022,Heybox,2.32,196.18,CNY,2026-05,2026-05
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Alibaba,0.0,443.95,CNY,2026-05,2026-05
BLEACH Rebirth of Souls Deluxe Edition,bleach_rebirth_of_souls_deluxe,,Heybox,0.98,204.36,CNY,2026-05,2026-05
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Alibaba,0.0,447.86,CNY,2026-05,2026-05
BLEACH Rebirth of Souls Ultimate Edition,bleach_rebirth_of_souls_ultimate,,Heybox,4.12,276.4,CNY,2026-05,2026-05
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Alibaba,0.0,231.98,CNY,2026-05,2026-05
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Heybox,12.23,106.56,CNY,2026-05,2026-05
Baten Kaitos I & II HD Remaster,baten_kaitos_i_ii_hd_remaster,PAX0014235936,Sonkwo,0.91,112.57,CNY,2026-05,2026-05
CODE VEIN,code_vein,PAX0010324338,Alibaba,0.0,292.28,CNY,2026-05,2026-05
CODE VEIN,code_vein,PAX0010324338,Heybox,421.05,34.73,CNY,2026-05,2026-05
CODE VEIN,code_vein,PAX0010324338,Sonkwo,0.71,43.48,CNY,2026-05,2026-05
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Alibaba,0.0,343.12,CNY,2026-05,2026-05
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Heybox,622.88,46.23,CNY,2026-05,2026-05
CODE VEIN Deluxe Edition,code_vein_deluxe,PAX0010361296,Sonkwo,7.06,58.34,CNY,2026-05,2026-05
CODE VEIN II,code_vein_ii,PAX0014842054,Heybox,42.28,228.35,CNY,2026-05,2026-05
CODE VEIN II,code_vein_ii,PAX0014842054,Sonkwo,4.08,215.36,CNY,2026-05,2026-05
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,PAX0015167434,Heybox,10.8,318.61,CNY,2026-05,2026-05
CODE VEIN II Deluxe Edition,code_vein_ii_deluxe,PAX0015167434,Sonkwo,1.26,314.63,CNY,2026-05,2026-05
CODE VEIN II Ultimate Edition,code_vein_ii_ultimate,PAX0015167570,Heybox,14.21,325.58,CNY,2026-05,2026-05
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Alibaba,0.0,215.81,CNY,2026-05,2026-05
Captain Tsubasa: Rise of New Champions,captain_tsubasa_rise_of_new_champions,PAX0010849876,Heybox,22.73,22.0,CNY,2026-05,2026-05
