Normalized Name,Product Name,Customer Reference,reason,paxCode,steamId,note
ace_combat_7_skies_unknown_top_gun_maverick_ultimate,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,duplicate_paxCode:PAX0012537704,,,
ace_combat_8_wings_of_theve,ACE COMBAT 8: WINGS OF THEVE,,no_item_number_in_report,,,FILL Customer Reference to rescue dropped sales
ace_combat_8_wings_of_theve_deluxe,ACE COMBAT 8: WINGS OF THEVE Digital Deluxe Edition,,duplicate_paxCode:PAX0015391392,,,
bleach_rebirth_of_souls_deluxe,BLEACH Rebirth of Souls Deluxe Edition,E06690,duplicate_paxCode:PAX0014038022,,,
bleach_rebirth_of_souls_ultimate,BLEACH Rebirth of Souls Ultimate Edition,E06691,duplicate_paxCode:PAX0014038022,,,
captain_tsubasa_2_world_fighters_deluxe,CAPTAIN TSUBASA 2: WORLD FIGHTERS - Deluxe Edition,,unmatched,,,
captain_tsubasa_2_world_fighters_ultimate,CAPTAIN TSUBASA 2: WORLD FIGHTERS - Ultimate Edition,,unmatched,,,
death_note_killer_within,DEATH NOTE Killer Within,E06643,unmatched,,,
death_note_killer_within_deluxe,DEATH NOTE Killer Within - Deluxe Edition,,unmatched,,,
death_note_killer_within_special,DEATH NOTE Killer Within Special Edition,E06646,unmatched,,,
doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,duplicate_paxCode:PAX0012561776,,,
dragon_ball_xenoverse_2_special,DRAGON BALL XENOVERSE 2 Special Edition,E06308,duplicate_paxCode:PAX0008452536,,,
dragon_ball_z_kakarot_master,DRAGON BALL Z : KAKAROT - MASTER EDITION,L00114,duplicate_paxCode:PAX0010474210,,,
echoes_of_aincrad,Echoes of Aincrad,,no_item_number_in_report,,,FILL Customer Reference to rescue dropped sales
echoes_of_aincrad_deluxe,Echoes of Aincrad Deluxe Edition,,no_item_number_in_report,,,FILL Customer Reference to rescue dropped sales
echoes_of_aincrad_ultimate,Echoes of Aincrad Ultimate Edition,,no_item_number_in_report,,,FILL Customer Reference to rescue dropped sales
naruto_shippuden_ultimate_ninja_storm_3_eu_version,Naruto Shippuden Ultimate Ninja Storm 3 - EU Version,,unmatched,,,
naruto_to_boruto_shinobi_striker_ultimate,NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,E06292,duplicate_paxCode:PAX0009688844,,,
naruto_x_boruto_ultimate_ninja_storm_connections_deluxe,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,E06164,duplicate_paxCode:PAX0013555324,,,
naruto_x_boruto_ultimate_ninja_storm_connections_ultimate,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,E06165,duplicate_paxCode:PAX0013555324,,,
once_upon_a_katamari_king_of_all_sounds,Once Upon A KATAMARI - King of All Sounds Edition,L00120,unmatched,,,
one_piece_pirate_warriors_4_legendary,ONE PIECE: PIRATE WARRIORS 4 Legendary Edition,L00434,duplicate_paxCode:PAX0010605960,,,
one_piece_pirate_warriors_4_ultimate,ONE PIECE: PIRATE WARRIORS 4 Ultimate Edition,E06098,duplicate_paxCode:PAX0010605960,,,
pac_man_mega_tunnel_battle_chomp_champs_deluxe,PAC-MAN Mega Tunnel Battle: Chomp Champs - Deluxe Edition,E06652,duplicate_paxCode:PAX0013651816,,,
pac_man_world_2_re_pac_deluxe,PAC-MAN WORLD 2 Re-PAC Deluxe Edition,L00118,duplicate_paxCode:PAX0014976422,,,
sand_land_deluxe,SAND LAND Deluxe Edition,E06272,duplicate_paxCode:PAX0013449516,,,
