Product Name,Item Number,Normalized Name
.hack//G.U. Last Recode,E05367,hack_g_u_last_recode
ACE COMBAT 7: SKIES UNKNOWN,E03174,ace_combat_7_skies_unknown
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,ace_combat_7_skies_unknown_top_gun_maverick_edition
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,ace_combat_7_skies_unknown_top_gun_maverick_ultimate_edition
ARMORED CORE VI FIRES OF RUBICON,E05837,armored_core_vi_fires_of_rubicon
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,armored_core_vi_fires_of_rubicon_deluxe_edition
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,armored_core_vi_fires_of_rubicon_standard_edition
Accel World VS. Sword Art Online Deluxe Edition,E02452,accel_world_vs_sword_art_online_deluxe_edition
BLACK CLOVER: QUARTET KNIGHTS,E02895,black_clover_quartet_knights
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,black_clover_quartet_knights_deluxe_edition
BLEACH Rebirth of Souls,E06132,bleach_rebirth_of_souls
BLEACH Rebirth of Souls Deluxe Edition,E06690,bleach_rebirth_of_souls_deluxe_edition
BLEACH Rebirth of Souls Ultimate Edition,E06691,bleach_rebirth_of_souls_ultimate_edition
Baten Kaitos I & II HD Remaster,E06117,baten_kaitos_i_ii_hd_remaster
CODE VEIN,E03009,code_vein
CODE VEIN Deluxe Edition,E03483,code_vein_deluxe_edition
CODE VEIN II,L00239,code_vein_ii
CODE VEIN II Deluxe Edition,L00240,code_vein_ii_deluxe_edition
CODE VEIN II Ultimate Edition,L00241,code_vein_ii_ultimate_edition
Captain Tsubasa: Rise of New Champions,E03350,captain_tsubasa_rise_of_new_champions
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,captain_tsubasa_rise_of_new_champions_deluxe_edition
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,captain_tsubasa_rise_of_new_champions_ultimate_edition
DARK SOULS III,E01572,dark_souls_iii
DARK SOULS III - Season Pass,E01893,dark_souls_iii_season_pass
DARK SOULS III Deluxe Edition,E02323,dark_souls_iii_deluxe_edition
DARK SOULS: REMASTERED,E02716,dark_souls_remastered
DARK SOULS™ II: Scholar of the First Sin,E01927,dark_souls_ii_scholar_of_the_first_sin
DEATH NOTE Killer Within,E06643,death_note_killer_within
DEATH NOTE Killer Within Special Edition,E06646,death_note_killer_within_special_edition
DORAEMON STORY OF SEASONS,E03496,doraemon_story_of_seasons
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,doraemon_story_of_seasons_friends_of_the_great_kingdom
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,doraemon_story_of_seasons_friends_of_the_great_kingdom_deluxe_edition
DRAGON BALL FighterZ,E02533,dragon_ball_fighterz
DRAGON BALL FighterZ - FighterZ Edition,E02595,dragon_ball_fighterz_fighterz_edition
DRAGON BALL FighterZ - Legendary Edition,E02596,dragon_ball_fighterz_legendary_edition
DRAGON BALL XENOVERSE 2,E02035,dragon_ball_xenoverse_2
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,dragon_ball_xenoverse_2_deluxe_edition
DRAGON BALL XENOVERSE 2 Special Edition,E06308,dragon_ball_xenoverse_2_special_edition
DRAGON BALL Z : KAKAROT - MASTER EDITION,L00114,dragon_ball_z_kakarot_master_edition
DRAGON BALL Z: KAKAROT,E03005,dragon_ball_z_kakarot
DRAGON BALL Z: KAKAROT - DAIMA EDITION,L00113,dragon_ball_z_kakarot_daima_edition
DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,dragon_ball_z_kakarot_deluxe_edition
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,dragon_ball_z_kakarot_legendary_edition
DRAGON BALL: Sparking! ZERO,E06127,dragon_ball_sparking_zero
DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,dragon_ball_sparking_zero_deluxe_edition
DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,dragon_ball_sparking_zero_ultimate_edition
DRAGON BALL: THE BREAKERS,E05011,dragon_ball_the_breakers
DRAGON BALL: THE BREAKERS Special Edition,E05644,dragon_ball_the_breakers_special_edition
Digimon Story Cyber Sleuth: Complete Edition,E05368,digimon_story_cyber_sleuth_complete_edition
Digimon Story Time Stranger,E03053,digimon_story_time_stranger
Digimon Story Time Stranger Deluxe Edition,L00115,digimon_story_time_stranger_deluxe_edition
Digimon Story Time Stranger Ultimate Edition,L00116,digimon_story_time_stranger_ultimate_edition
Digimon Survive,E05471,digimon_survive
Digimon World: Next Order,E04521,digimon_world_next_order
EVERYBODY'S GOLF HOT SHOTS,L00036,everybody_s_golf_hot_shots
