Product Name,Item Number,lookup_pax_code,lookup_label,lookup_total_count,lookup_score,match_status
.hack//G.U. Last Recode,E05367,PAX0011620588,.Hack//G.U. Last Recode,1,95.7,differs
ACE COMBAT 7: SKIES UNKNOWN,E03174,PAX0012109542,Ace Combat 7: Skies Unknown,7,37.0,differs
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,PAX0012537704,Ace Combat 7: Skies Unknown - Top Gun: Maverick Edition,1,61.8,differs
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,,,0,0.0,not_found
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,PAX0012537704,Ace Combat 7: Skies Unknown - Top Gun: Maverick Edition,1,61.3,differs
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,,,0,0.0,not_found
ARMORED CORE VI FIRES OF RUBICON,E05837,PAX0013077488,Armored Core VI: Fires Of Rubicon,2,36.9,differs
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,PAX0013069260,Armored Core VI: Fires Of Rubicon (Deluxe Edition),2,55.7,differs
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,,,0,0.0,not_found
Accel World VS. Sword Art Online Deluxe Edition,E02452,PAX0009526222,Accel World Vs. Sword Art Online (Deluxe Edition),3,95.8,differs
Ace Combat 7: Skies Unknown,E03174,PAX0012109542,Ace Combat 7: Skies Unknown,7,100.0,differs
BLACK CLOVER: QUARTET KNIGHTS,E02895,PAX0009950610,Black Clover: Quartet Knights (Deluxe Edition),3,27.7,differs
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,PAX0009950610,Black Clover: Quartet Knights (Deluxe Edition),1,51.1,differs
BLEACH Rebirth of Souls,E06132,PAX0014038022,Bleach Rebirth of Souls,1,78.3,differs
BLEACH Rebirth of Souls Deluxe Edition,E06690,PAX0014038022,Bleach Rebirth of Souls,1,85.5,differs
BLEACH Rebirth of Souls Ultimate Edition,E06691,PAX0014038022,Bleach Rebirth of Souls,1,85.5,differs
Baten Kaitos I & II HD Remaster,E06117,PAX0014235936,Baten Kaitos I & II HD Remaster,1,100.0,differs
CODE VEIN,E03009,PAX0010361296,Code Vein (Deluxe Edition),9,36.0,differs
CODE VEIN Deluxe Edition,E03483,PAX0010361296,Code Vein (Deluxe Edition),2,72.0,differs
CODE VEIN II,L00239,PAX0014842054,Code Vein II,9,50.0,differs
CODE VEIN II Deluxe Edition,L00240,PAX0015167434,Code Vein II (Deluxe Edition),2,75.0,differs
CODE VEIN II Ultimate Edition,L00241,PAX0015167570,Code Vein II (Ultimate Edition),1,76.7,differs
Captain Tsubasa: Rise of New Champions,E03350,PAX0010849876,Captain Tsubasa: Rise of New Champions,8,100.0,differs
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,PAX0010849944,Captain Tsubasa: Rise of New Champions (Deluxe Edition),1,96.4,differs
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,PAX0014008034,Captain Tsubasa: Rise of New Champions (Ultimate Edition),8,96.5,differs
Captain Tsubasa: Rise of New Champions Deluxe Edition,E04120,PAX0010849944,Captain Tsubasa: Rise of New Champions (Deluxe Edition),1,98.1,differs
Captain Tsubasa: Rise of New Champions Ultimate Edition,E06275,PAX0014008034,Captain Tsubasa: Rise of New Champions (Ultimate Edition),8,98.2,differs
DARK SOULS II: Scholar of the First Sin,E01927,PAX0006971122,Dark Souls II: Scholar of the First Sin,3,82.1,differs
DARK SOULS III,E01572,PAX0007785082,Dark Souls III,15,50.0,differs
DARK SOULS III - Season Pass,E01893,PAX0007947534,Dark Souls III: Season Pass (DLC),2,62.3,differs
DARK SOULS III Deluxe Edition,E02323,PAX0010511338,Dark Souls III (Deluxe Edition),2,73.3,differs
DARK SOULS: REMASTERED,E02716,PAX0010382852,Dark Souls: Remastered,5,27.3,differs
DARK SOULS™ II: Scholar of the First Sin,E01927,PAX0006971122,Dark Souls II: Scholar of the First Sin,3,81.0,differs
DARK SOULS™ III,E01572,PAX0007785082,Dark Souls III,15,48.3,differs
DARK SOULS™ III - Season Pass,E01893,PAX0007947534,Dark Souls III: Season Pass (DLC),2,61.3,differs
DARK SOULS™ III Deluxe Edition,E02323,PAX0010511338,Dark Souls III (Deluxe Edition),2,72.1,differs
DARK SOULS™: REMASTERED,E02716,PAX0010382852,Dark Souls: Remastered,5,26.7,differs
DEATH NOTE Killer Within,E06643,,,0,0.0,not_found
DEATH NOTE Killer Within Special Edition,E06646,,,0,0.0,not_found
DIGIMON STORY TIME STRANGER,E03053,PAX0014928856,Digimon Story Time Stranger (Ultimate Edition),5,26.8,differs
DIGIMON STORY TIME STRANGER Deluxe Edition,L00115,PAX0014928822,Digimon Story Time Stranger (Deluxe Edition),6,51.2,differs
DIGIMON STORY TIME STRANGER Ultimate Edition,L00116,PAX0014928856,Digimon Story Time Stranger (Ultimate Edition),2,53.3,differs
DORAEMON STORY OF SEASONS,E03496,PAX0012561776,Doraemon Story of Seasons: Friends of the Great Kingdom,2,24.5,differs
DORAEMON STORY OF SEASONS,E06163,PAX0012561776,Doraemon Story of Seasons: Friends of the Great Kingdom,2,24.5,differs
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,PAX0012561776,Doraemon Story of Seasons: Friends of the Great Kingdom,1,66.5,differs
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,,,0,0.0,not_found
DRAGON BALL FighterZ,E02533,PAX0009332320,Dragon Ball FighterZ,12,60.0,differs
DRAGON BALL FighterZ - FighterZ Edition,E02595,PAX0011909554,Dragon Ball FighterZ (Ultimate Edition),5,61.5,differs
DRAGON BALL FighterZ - Legendary Edition,E02596,PAX0013747526,Dragon Ball FighterZ (Legendary Edition),1,75.0,differs
DRAGON BALL FighterZ - Legendary Edition,E03177,PAX0013747526,Dragon Ball FighterZ (Legendary Edition),1,75.0,differs
DRAGON BALL FighterZ - Legendary Edition,E06163,PAX0013747526,Dragon Ball FighterZ (Legendary Edition),1,75.0,differs
DRAGON BALL XENOVERSE 2,E02035,PAX0013468760,Dragon Ball Xenoverse 2: Hero of Justice Pack Set (DLC),28,27.4,differs
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,PAX0012760472,Dragon Ball: Xenoverse 2 (Deluxe Edition),1,55.7,differs
DRAGON BALL XENOVERSE 2 Special Edition,E05644,,,0,0.0,not_found
