Product Name,Normalized Name,Customer,Promo Discount,paxCode,Customer Reference,start_month,end_month
.hack//G.U. Last Recode,hack_g_u_last_recode,All,0.6835,PAX0011204972,E05367,2024-11,2024-11
.hack//G.U. Last Recode,hack_g_u_last_recode,All,0.9,PAX0011204972,E05367,2024-12,2025-03
.hack//G.U. Last Recode,hack_g_u_last_recode,All,0.8,PAX0011204972,E05367,2025-04,2025-04
.hack//G.U. Last Recode,hack_g_u_last_recode,All,0.9,PAX0011204972,E05367,2025-06,2025-06
.hack//G.U. Last Recode,hack_g_u_last_recode,Heybox,0.9,PAX0011204972,E05367,2025-07,2025-09
.hack//G.U. Last Recode,hack_g_u_last_recode,Heybox,0.8,PAX0011204972,E05367,2025-10,2026-04
.hack//G.U. Last Recode,hack_g_u_last_recode,Heybox,0.9,PAX0011204972,E05367,2026-04,2026-04
.hack//G.U. Last Recode,hack_g_u_last_recode,Sonkwo,0.9,PAX0011204972,E05367,2025-07,2025-07
.hack//G.U. Last Recode,hack_g_u_last_recode,Sonkwo,0.8,PAX0011204972,E05367,2025-11,2026-02
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,All,0.6716,PAX0009836302,E03174,2024-11,2024-11
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,All,0.8,PAX0009836302,E03174,2024-12,2025-05
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,All,0.9,PAX0009836302,E03174,2025-06,2025-06
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Heybox,0.9,PAX0009836302,E03174,2025-07,2025-08
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Heybox,0.84,PAX0009836302,E03174,2025-10,2025-11
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Heybox,0.9,PAX0009836302,E03174,2025-10,2025-11
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Heybox,0.86,PAX0009836302,E03174,2025-12,2025-12
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Heybox,0.84,PAX0009836302,E03174,2026-02,2026-04
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Heybox,0.92,PAX0009836302,E03174,2026-02,2026-02
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Sonkwo,0.9,PAX0009836302,E03174,2025-07,2025-07
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Sonkwo,0.9,PAX0009836302,E03174,2025-10,2025-10
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Sonkwo,0.89,PAX0009836302,E03174,2025-11,2025-11
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Sonkwo,0.83,PAX0009836302,E03174,2025-12,2026-01
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Sonkwo,0.92,PAX0009836302,E03174,2026-02,2026-02
ACE COMBAT 7: SKIES UNKNOWN,ace_combat_7_skies_unknown,Sonkwo,0.84,PAX0009836302,E03174,2026-03,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,All,0.7609,,,2024-11,2024-11
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,All,0.8,,,2024-12,2025-06
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,Heybox,0.8,,,2025-07,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,Sonkwo,0.8,,,2025-10,2025-12
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,ace_combat_7_skies_unknown_top_gun_maverick,Sonkwo,0.8,,,2026-02,2026-03
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,All,0.8032,PAX0012537704,E05444,2024-11,2024-11
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,ace_combat_7_skies_unknown_top_gun_maverick_ultimate,All,0.9,PAX0012537704,E05444,2024-12,2025-01
