Product Name,Item Number,SRP (CNY),start_month,end_month
.hack//G.U. Last Recode,E05367,278.0,2024-08,2025-04
.hack//G.U. Last Recode,E05367,278.0,2025-06,2026-04
ACE COMBAT 7: SKIES UNKNOWN,E03174,268.0,2024-08,2024-10
ACE COMBAT 7: SKIES UNKNOWN,E03174,268.0,2024-12,2026-04
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,368.0,2024-08,2024-10
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,368.0,2025-10,2025-12
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,368.0,2026-02,2026-03
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,498.0,2024-08,2024-10
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,498.0,2025-10,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,368.0,2025-01,2026-04
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,498.0,2025-01,2026-04
ARMORED CORE VI FIRES OF RUBICON,E05837,298.0,2024-08,2024-09
ARMORED CORE VI FIRES OF RUBICON,E05837,298.0,2025-12,2025-12
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,348.0,2024-08,2026-04
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,298.0,2024-10,2026-04
Accel World VS. Sword Art Online Deluxe Edition,E02452,278.0,2024-08,2026-04
Ace Combat 7: Skies Unknown,E03174,268.0,2024-11,2024-11
BLACK CLOVER: QUARTET KNIGHTS,E02895,268.0,2024-08,2026-04
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,288.0,2024-08,2026-04
BLEACH Rebirth of Souls,E06132,298.0,2025-03,2026-04
BLEACH Rebirth of Souls Deluxe Edition,E06690,398.0,2025-03,2026-04
BLEACH Rebirth of Souls Ultimate Edition,E06691,498.0,2025-03,2026-04
Baten Kaitos I & II HD Remaster,E06117,248.0,2024-12,2024-12
Baten Kaitos I & II HD Remaster,E06117,248.0,2025-02,2026-04
CODE VEIN,E03009,268.0,2024-08,2026-04
CODE VEIN Deluxe Edition,E03483,368.0,2024-08,2026-04
CODE VEIN II,L00239,268.0,2026-01,2026-04
CODE VEIN II Deluxe Edition,L00240,398.0,2026-01,2026-04
CODE VEIN II Ultimate Edition,L00241,468.0,2026-01,2026-04
Captain Tsubasa: Rise of New Champions,E03350,198.0,2024-08,2026-04
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,298.0,2024-10,2026-04
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,398.0,2024-10,2026-04
Captain Tsubasa: Rise of New Champions Deluxe Edition,E04120,298.0,2024-08,2024-09
Captain Tsubasa: Rise of New Champions Deluxe Edition,E04120,298.0,2025-12,2025-12
Captain Tsubasa: Rise of New Champions Ultimate Edition,E06275,398.0,2024-08,2024-09
Captain Tsubasa: Rise of New Champions Ultimate Edition,E06275,398.0,2025-12,2025-12
DARK SOULS II: Scholar of the First Sin,E01927,198.0,2024-12,2025-02
DARK SOULS III,E01572,268.0,2024-12,2026-04
DARK SOULS III - Season Pass,E01893,138.0,2024-12,2026-04
DARK SOULS III Deluxe Edition,E02323,398.0,2024-12,2026-04
DARK SOULS: REMASTERED,E02716,198.0,2024-08,2026-04
DARK SOULS™ II: Scholar of the First Sin,E01927,198.0,2024-08,2024-11
DARK SOULS™ II: Scholar of the First Sin,E01927,198.0,2025-04,2025-11
DARK SOULS™ II: Scholar of the First Sin,E01927,158.0,2025-12,2025-12
DARK SOULS™ II: Scholar of the First Sin,E01927,198.0,2026-01,2026-03
DARK SOULS™ II: Scholar of the First Sin,E01927,158.0,2026-04,2026-04
DARK SOULS™ III,E01572,268.0,2024-08,2024-10
DARK SOULS™ III,E01572,268.0,2025-09,2025-10
DARK SOULS™ III,E01572,268.0,2025-12,2025-12
DARK SOULS™ III,E01572,268.0,2026-02,2026-02
DARK SOULS™ III,E01572,268.0,2026-04,2026-04
DARK SOULS™ III - Season Pass,E01893,138.0,2024-08,2024-10
DARK SOULS™ III - Season Pass,E01893,138.0,2025-12,2025-12
DARK SOULS™ III Deluxe Edition,E02323,398.0,2024-08,2024-10
DARK SOULS™ III Deluxe Edition,E02323,398.0,2025-12,2025-12
DARK SOULS™: REMASTERED,E02716,198.0,2025-09,2025-10
DARK SOULS™: REMASTERED,E02716,198.0,2026-01,2026-04
DEATH NOTE Killer Within,E06643,48.0,2024-12,2026-04
DEATH NOTE Killer Within Special Edition,E06646,98.0,2024-12,2025-03
DEATH NOTE Killer Within Special Edition,E06646,98.0,2025-06,2026-04
DIGIMON STORY TIME STRANGER,E03053,298.0,2025-07,2026-04
DIGIMON STORY TIME STRANGER Deluxe Edition,L00115,448.0,2025-12,2026-04
DIGIMON STORY TIME STRANGER Ultimate Edition,L00116,548.0,2025-12,2026-04
DORAEMON STORY OF SEASONS,E03496,228.0,2024-12,2025-01
DORAEMON STORY OF SEASONS,E03496,228.0,2025-03,2025-11
DORAEMON STORY OF SEASONS,E03496,228.0,2026-01,2026-04
DORAEMON STORY OF SEASONS,E06163,228.0,2025-02,2025-02
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,248.0,2024-08,2026-04
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,348.0,2024-08,2026-04
DRAGON BALL FighterZ,E02533,198.0,2024-08,2024-11
DRAGON BALL FighterZ,E02533,198.0,2025-01,2026-04
DRAGON BALL FighterZ - FighterZ Edition,E02595,298.0,2024-08,2026-04
DRAGON BALL FighterZ - Legendary Edition,E02596,398.0,2024-11,2026-04
DRAGON BALL FighterZ - Legendary Edition,E03177,398.0,2025-02,2025-02
DRAGON BALL FighterZ - Legendary Edition,E06163,398.0,2024-08,2024-10
DRAGON BALL XENOVERSE 2,E02035,98.0,2024-08,2026-04
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,198.0,2024-08,2026-04
DRAGON BALL XENOVERSE 2 Special Edition,E05644,248.0,2024-08,2024-10
DRAGON BALL XENOVERSE 2 Special Edition,E06308,248.0,2024-11,2026-04
DRAGON BALL Z : KAKAROT - MASTER EDITION,L00114,398.0,2026-01,2026-04
DRAGON BALL Z: KAKAROT,E03005,298.0,2024-08,2025-07
DRAGON BALL Z: KAKAROT,E03005,88.0,2025-08,2026-04
DRAGON BALL Z: KAKAROT - DAIMA EDITION,L00113,198.0,2025-12,2026-04
DRAGON BALL Z: KAKAROT - Deluxe Edition,E03730,398.0,2024-10,2024-10
DRAGON BALL Z: KAKAROT - Legendary Edition,E06163,498.0,2024-10,2024-10
DRAGON BALL Z: KAKAROT - MASTER EDITION,L00114,398.0,2025-12,2025-12
DRAGON BALL Z: KAKAROT DAIMA EDITION,L00113,198.0,2026-01,2026-04
DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,398.0,2024-08,2024-09
DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,398.0,2024-12,2026-04
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,498.0,2024-08,2024-09
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,498.0,2024-12,2026-04
DRAGON BALL Z: KAKAROT MASTER EDITION,L00114,398.0,2026-01,2026-04
DRAGON BALL: Sparking! ZERO,E06127,298.0,2024-11,2026-04
DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,478.0,2024-11,2026-04
DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,538.0,2024-11,2026-04
DRAGON BALL: THE BREAKERS,E05011,98.0,2024-08,2024-11
DRAGON BALL: THE BREAKERS,E05011,98.0,2025-01,2026-04
DRAGON BALL: THE BREAKERS Special Edition,E05644,148.0,2024-08,2024-11
DRAGON BALL: THE BREAKERS Special Edition,E05644,148.0,2025-03,2026-04
Digimon Story Cyber Sleuth: Complete Edition,E05368,228.0,2024-08,2025-04
Digimon Story Cyber Sleuth: Complete Edition,E05368,228.0,2025-06,2026-04
Digimon Story Time Stranger,E03053,298.0,2025-09,2026-04
Digimon Story Time Stranger Deluxe Edition,0,448.0,2025-12,2025-12
Digimon Story Time Stranger Deluxe Edition,L00115,448.0,2026-01,2026-04
Digimon Story Time Stranger Ultimate Edition,0,548.0,2025-12,2025-12
Digimon Story Time Stranger Ultimate Edition,L00116,548.0,2026-01,2026-04
Digimon Survive,E03730,298.0,2025-02,2025-02
Digimon Survive,E05471,298.0,2024-08,2025-01
Digimon Survive,E05471,298.0,2025-03,2026-04
Digimon World: Next Order,E04521,248.0,2024-08,2024-11
Digimon World: Next Order,E04521,248.0,2025-01,2025-01
Digimon World: Next Order,E04521,248.0,2025-03,2025-04
Digimon World: Next Order,E04521,248.0,2025-06,2026-04
Doraemon Story of Seasons,E03496,228.0,2024-08,2024-11
Doraemon Story of Seasons,E03496,228.0,2025-07,2026-04
EVERYBODY'S GOLF HOT SHOTS,L00036,178.0,2025-10,2026-04
Everybody's Golf: Hotshots,L00036,178.0,2025-07,2026-04
FREEDOM WARS Remastered,E06517,198.0,2025-07,2026-04
GOD EATER 2 Rage Burst,E05369,268.0,2024-08,2025-04
GOD EATER 2 Rage Burst,E05369,268.0,2025-06,2026-04
GOD EATER 3,E03177,268.0,2024-08,2024-09
GOD EATER 3,E03177,268.0,2024-12,2025-04
GOD EATER 3,E03177,268.0,2025-06,2026-04
GUNDAM BREAKER 4,E04524,298.0,2024-08,2026-04
GUNDAM BREAKER 4 Deluxe Edition,E06529,448.0,2024-08,2026-04
GUNDAM BREAKER 4 Ultimate Edition,E06530,498.0,2024-08,2026-04
God Eaters 3,E03177,268.0,2024-10,2024-10
JoJo's Bizarre Adventure: All-Star Battle R,E03528,248.0,2024-08,2025-01
JoJo's Bizarre Adventure: All-Star Battle R,E03528,248.0,2025-03,2025-04
JoJo's Bizarre Adventure: All-Star Battle R,E03528,248.0,2025-06,2026-04
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,348.0,2024-08,2026-04
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,E06307,428.0,2024-08,2025-05
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,E06307,428.0,2025-07,2026-04
Jujutsu Kaisen Cursed Clash,E05703,298.0,2024-08,2024-11
Jujutsu Kaisen Cursed Clash,E05703,298.0,2025-02,2026-04
Jujutsu Kaisen Cursed Clash Deluxe Edition,E03322,398.0,2025-03,2025-03
Jujutsu Kaisen Cursed Clash Deluxe Edition,E06213,398.0,2024-08,2025-01
Jujutsu Kaisen Cursed Clash Deluxe Edition,E06213,398.0,2025-06,2026-04
Jujutsu Kaisen Cursed Clash Ultimate Edition,E06212,498.0,2024-08,2024-11
Jujutsu Kaisen Cursed Clash Ultimate Edition,E06212,498.0,2025-01,2025-01
Jujutsu Kaisen Cursed Clash Ultimate Edition,E06212,498.0,2025-03,2025-03
Jujutsu Kaisen Cursed Clash Ultimate Edition,E06212,498.0,2025-05,2026-04
Klonoa Phantasy Reverie Series,E04522,198.0,2024-08,2024-11
Klonoa Phantasy Reverie Series,E04522,198.0,2025-01,2026-04
Little Nightmares III,E05707,178.0,2025-12,2026-04
Little Nightmares III (pre-order),E05707,196.0,2025-12,2025-12
Little Nightmares III Deluxe Edition,L00119,268.0,2025-12,2026-04
Little Nightmares III Deluxe Edition (pre-order),L00119,342.0,2025-12,2025-12
Little Nightmares III Digital Deluxe Edition,L00119,268.0,2026-01,2026-03
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,E06942,198.0,2025-05,2026-04
NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4,E01592,98.0,2024-08,2024-10
NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 4,E01592,98.0,2025-07,2026-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,E05373,108.0,2024-08,2024-11
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,E05373,108.0,2025-03,2025-03
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,E05373,108.0,2025-06,2026-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,98.0,2024-11,2026-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,266.4,2024-08,2024-12
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,360.0,2025-01,2025-02
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,266.4,2025-03,2025-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,360.0,2025-05,2025-06
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,266.0,2025-07,2025-07
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,360.0,2025-08,2025-08
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,266.4,2025-09,2025-09
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,360.0,2025-10,2025-11
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,266.4,2025-12,2026-02
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,360.0,2026-03,2026-03
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,266.4,2026-04,2026-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.2,2024-08,2024-10
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,684.0,2024-11,2024-11
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.2,2024-12,2024-12
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,684.0,2025-01,2025-02
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.2,2025-03,2025-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,684.0,2025-05,2025-06
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.0,2025-07,2025-07
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,684.0,2025-08,2025-08
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.2,2025-09,2025-09
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,684.0,2025-10,2025-11
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.2,2025-12,2026-01
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.4,2026-02,2026-02
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,684.0,2026-03,2026-03
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,376.2,2026-04,2026-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,217.08,2024-08,2024-11
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,324.0,2025-01,2025-01
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,217.08,2025-03,2025-04
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,324.0,2025-05,2025-07
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,217.08,2025-08,2025-09
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,324.0,2025-10,2025-11
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,217.08,2025-12,2026-02
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,E05387,217.0,2026-03,2026-04
NARUTO TO BORUTO: SHINOBI STRIKER,E01572,98.0,2025-03,2025-03
NARUTO TO BORUTO: SHINOBI STRIKER,E01927,98.0,2025-03,2025-03
NARUTO TO BORUTO: SHINOBI STRIKER,E02855,98.0,2024-08,2024-12
NARUTO TO BORUTO: SHINOBI STRIKER,E02855,98.0,2025-02,2025-02
NARUTO TO BORUTO: SHINOBI STRIKER,E02855,98.0,2025-04,2026-04
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,E02942,198.0,2024-08,2024-11
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,E02942,198.0,2025-01,2025-01
NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition,E02942,198.0,2025-03,2026-04
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,E06292,398.0,2024-08,2024-11
NARUTO TO BORUTO: SHINOBI STRIKER Ultimate Edition,E06292,398.0,2025-01,2026-04
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,E03049,298.0,2024-08,2026-04
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition,E06164,428.0,2024-08,2026-04
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,E06165,468.0,2024-08,2026-04
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Ultimate Edition,E06212,468.0,2025-04,2025-04
NARUTO: Ultimate Ninja STORM,E05386,108.0,2024-08,2024-11
NARUTO: Ultimate Ninja STORM,E05386,108.0,2025-02,2026-04
New Gundam Breaker,E02758,268.0,2024-08,2024-11
New Gundam Breaker,E02758,268.0,2025-01,2025-01
New Gundam Breaker,E02758,268.0,2025-03,2025-04
New Gundam Breaker,E02758,268.0,2025-06,2026-04
ONE PIECE BURNING BLOOD,E01970,268.0,2025-03,2025-11
